UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,PersonScores,theta,error
10192.0,10276682.0,non-gamified,Grupo Team 5,Apprentice,NA,25.0,1.5553167566888284,0.5752041012322648
10193.0,10276762.0,ont-gamified,Grupo Afrodite,Master,Yee Achiever,18.0,-0.08038848747269449,0.5043580861250034
10195.0,10351971.0,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,21.0,0.6099736974815331,0.4794598068941739
10196.0,10310655.0,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,16.0,-0.6543326517017437,0.5092799511321389
10197.0,10276661.0,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,19.0,0.16813938858053218,0.4914511555030068
10199.0,10276737.0,ont-gamified,Grupo Gaia,Master,Yee Achiever,13.0,-1.3607329886887969,0.45264088727971863
10200.0,9795272.0,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,26.0,1.9065404060114906,0.6612257554077569
10201.0,10276928.0,ont-gamified,Grupo Caronte,Master,Yee Achiever,24.0,1.2795930062205665,0.5269491771185071
10202.0,10277036.0,non-gamified,Grupo Team 11,Apprentice,NA,16.0,-0.6543326517017437,0.5092799511321389
10203.0,9921470.0,non-gamified,Grupo Team 3,Apprentice,NA,22.0,0.8224490761629795,0.4844543610234488
10204.0,10310471.0,ont-gamified,Grupo Hermes,Master,Yee Achiever,27.0,2.4308781157102564,0.8388341444082253
10206.0,10310721.0,ont-gamified,Grupo Hera,Master,Yee Achiever,17.0,-0.35881401586787753,0.5140925201529228
10208.0,10276932.0,non-gamified,Grupo Team 7,Apprentice,NA,25.0,1.5553167566888284,0.5752041012322648
10209.0,10262669.0,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,14.0,-1.1584042108881814,0.4686827950943565
10210.0,10277015.0,non-gamified,Grupo Team 9,Apprentice,NA,17.0,-0.35881401586787753,0.5140925201529228
10211.0,9311643.0,non-gamified,Grupo Team 2,Master,NA,25.0,1.5553167566888284,0.5752041012322648
10212.0,9065750.0,non-gamified,Grupo Team 4,Master,NA,24.0,1.2795930062205665,0.5269491771185071
10213.0,10277040.0,ont-gamified,Grupo Morfeu,Master,Yee Socializer,25.0,1.5553167566888284,0.5752041012322648
10214.0,10277022.0,non-gamified,Grupo Team 5,Master,NA,12.0,-1.5460174618832243,0.4434453204926457
10215.0,9285227.0,ont-gamified,Grupo Zeus,Master,Yee Socializer,19.0,0.16813938858053218,0.4914511555030068
10216.0,10276720.0,non-gamified,Grupo Team 15,Master,NA,17.0,-0.35881401586787753,0.5140925201529228
10217.0,9805341.0,non-gamified,Grupo Team 13,Master,NA,14.0,-1.1584042108881814,0.4686827950943565
10218.0,9842913.0,ont-gamified,Grupo Ares,Master,Yee Achiever,12.0,-1.5460174618832243,0.4434453204926457
10219.0,10276831.0,non-gamified,Grupo Team 12,Master,NA,15.0,-0.9264124251633029,0.48993701124192823
10220.0,9760151.0,non-gamified,Grupo Team 2,Apprentice,NA,22.0,0.8224490761629795,0.4844543610234488
10221.0,9082496.0,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,17.0,-0.35881401586787753,0.5140925201529228
10223.0,9795185.0,ont-gamified,Grupo Cronus,Master,Yee Achiever,24.0,1.2795930062205665,0.5269491771185071
10224.0,9368772.0,non-gamified,Grupo Team 10,Apprentice,NA,26.0,1.9065404060114906,0.6612257554077569
10226.0,10310342.0,non-gamified,Grupo Team 8,Master,NA,15.0,-0.9264124251633029,0.48993701124192823
10227.0,9274382.0,non-gamified,Grupo Team 4,Apprentice,NA,8.0,-2.2869607225549755,0.4845878947286735
10228.0,10310492.0,non-gamified,Grupo Team 14,Apprentice,NA,16.0,-0.6543326517017437,0.5092799511321389
10230.0,10351992.0,non-gamified,Grupo Team 14,Master,NA,9.0,-2.0863945084249256,0.46002047589255096
10232.0,10276974.0,ont-gamified,Grupo Artemis,Master,Yee Achiever,22.0,0.8224490761629795,0.4844543610234488
10233.0,9805320.0,non-gamified,Grupo Team 16,Apprentice,NA,11.0,-1.7237587284917093,0.4412765460507779
10234.0,10310676.0,non-gamified,Grupo Team 7,Master,NA,9.0,-2.0863945084249256,0.46002047589255096
10237.0,10377688.0,non-gamified,Grupo Team 11,Master,NA,18.0,-0.08038848747269449,0.5043580861250034
10238.0,10276953.0,non-gamified,Grupo Team 13,Apprentice,NA,15.0,-0.9264124251633029,0.48993701124192823
10240.0,10276654.0,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,15.0,-0.9264124251633029,0.48993701124192823
