UserID,NroUSP,Type,Group,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA,PAs0,PAs1,PAs2,PAs3,PBs0,PBs1,PBs2,PBs3
10169.0,10377538.0,ont-gamified,Grupo Hefesto,Master,Yee Achiever,4032.0,5040.0,3780.0,5040.0,4620.0,1890.0,5040.0,2520.0,3360.0,5040.0,5040.0,5040.0,5040.0,3780.0,5040.0,2520.0,1680.0,1260.0
10170.0,10260351.0,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,3906.0,5040.0,5040.0,5040.0,4620.0,2520.0,5040.0,5040.0,2940.0,5040.0,NA,NA,NA,NA,NA,NA,NA,NA
10171.0,698531.0,non-gamified,Grupo  Team 6,Apprentice,NA,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,2520.0,3360.0,2520.0,5040.0,2520.0,3360.0,2520.0
10174.0,10276852.0,ont-gamified,Grupo Urano,Master,Yee Achiever,2772.0,3780.0,5040.0,3080.0,4620.0,1890.0,5040.0,5040.0,1260.0,5040.0,NA,NA,NA,NA,NA,NA,NA,NA
10175.0,10310700.0,ont-gamified,Grupo Hélio,Master,Yee Socializer,5040.0,5040.0,5040.0,5040.0,5040.0,2520.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,3360.0,3780.0,5040.0,5040.0,3360.0,3780.0
10176.0,10276949.0,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,5040.0,5040.0,5040.0,5040.0,5040.0,2520.0,5040.0,4680.0,2940.0,1680.0,5040.0,5040.0,3360.0,3780.0,5040.0,2520.0,3360.0,2520.0
10178.0,8656201.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,3906.0,4620.0,5040.0,5040.0,4620.0,2520.0,5040.0,5040.0,2940.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,3360.0,3780.0
10179.0,10310759.0,non-gamified,Grupo Team 9,Master,NA,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,5040.0,2940.0,5040.0,NA,NA,NA,NA,NA,NA,NA,NA
10181.0,10276866.0,non-gamified,Grupo Team 10,Master,NA,4914.0,5040.0,5040.0,5040.0,3360.0,2520.0,5040.0,5040.0,2940.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10183.0,10352030.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,5040.0,5040.0,3780.0,5040.0,3780.0,1890.0,5040.0,4680.0,840.0,5040.0,5040.0,5040.0,3360.0,3780.0,5040.0,2520.0,3360.0,2520.0
