UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1
10169.0,10377538.0,ont-gamified,Grupo Hefesto,Master,Yee Achiever,1.0,1.0,0.0,0.9444444444444444,1.0,0.5,1.0,0.5,1.0,1.0
10170.0,10260351.0,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,0.975,1.0,0.5,0.9444444444444444,0.0,0.0,0.5,0.9375,1.0,0.6666666666666666
10171.0,698531.0,non-gamified,Grupo  Team 6,Apprentice,NA,1.0,0.9666666666666667,0.0,0.6111111111111112,1.0,1.0,1.0,1.0,0.0,0.25
10174.0,10276852.0,ont-gamified,Grupo Urano,Master,Yee Achiever,1.0,0.7333333333333333,0.5,0.9444444444444444,1.0,0.5,1.0,0.5,0.5,1.0
10175.0,10310700.0,ont-gamified,Grupo Hélio,Master,Yee Socializer,0.975,1.0,0.5,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0
10176.0,10276949.0,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,1.0,1.0,0.5,0.6666666666666666,0.0,1.0,1.0,0.875,0.4,0.6666666666666666
10178.0,8656201.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,0.1,0.7166666666666667,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
10179.0,10310759.0,non-gamified,Grupo Team 9,Master,NA,1.0,1.0,0.5,0.9444444444444444,1.0,1.0,1.0,1.0,0.0,1.0
10181.0,10276866.0,non-gamified,Grupo Team 10,Master,NA,1.0,1.0,0.5,0.9444444444444444,1.0,0.5,1.0,1.0,0.4,1.0
10183.0,10352030.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,0.775,0.9833333333333333,0.5,1.0,1.0,0.375,0.3333333333333333,0.9375,0.4,0.0
10184.0,10276675.0,ont-gamified,Grupo Apolo,Master,Yee Socializer,1.0,1.0,0.16666666666666666,0.9444444444444444,1.0,0.5,1.0,0.9375,1.0,1.0
10185.0,10276960.0,non-gamified,Grupo Team 12,Apprentice,NA,0.3,0.7666666666666667,0.6666666666666666,0.9444444444444444,1.0,0.375,1.0,0.4375,1.0,1.0
10186.0,10310551.0,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,1.0,0.9666666666666667,0.3333333333333333,0.9444444444444444,0.0,1.0,1.0,1.0,0.0,1.0
10187.0,9790781.0,non-gamified,Grupo Team 15,Apprentice,NA,0.55,0.95,0.5,0.9444444444444444,1.0,0.5,1.0,0.4375,0.0,1.0
10188.0,10276995.0,non-gamified,Grupo Team 3,Master,NA,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
10189.0,9363926.0,ont-gamified,Grupo Hades,Master,Yee Socializer,0.775,0.9,0.5,0.9444444444444444,1.0,1.0,1.0,0.9375,1.0,1.0
10190.0,10276907.0,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,0.725,0.9,0.5,0.6666666666666666,1.0,1.0,1.0,0.3125,0.5,0.0
10191.0,10276981.0,non-gamified,Grupo  Team 6,Master,NA,0.8,1.0,1.0,0.9444444444444444,1.0,0.5,1.0,1.0,1.0,1.0
10192.0,10276682.0,non-gamified,Grupo Team 5,Apprentice,NA,0.95,1.0,0.5,0.9444444444444444,0.0,0.375,1.0,0.9375,0.0,0.6666666666666666
10193.0,10276762.0,ont-gamified,Grupo Afrodite,Master,Yee Achiever,0.975,0.9833333333333333,1.0,0.9444444444444444,1.0,0.5,1.0,1.0,0.0,1.0
10195.0,10351971.0,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,0.975,1.0,0.5,0.9444444444444444,1.0,0.5,1.0,0.4375,0.4,1.0
10196.0,10310655.0,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,0.775,0.7833333333333333,0.5,0.6111111111111112,0.0,0.5,1.0,1.0,0.5,0.6666666666666666
10197.0,10276661.0,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,0.525,0.9833333333333333,0.0,0.9444444444444444,0.0,1.0,1.0,1.0,0.5,1.0
10198.0,10310888.0,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,0.525,0.9333333333333333,0.5,0.6111111111111112,0.0,0.375,1.0,0.375,0.5,0.6666666666666666
10199.0,10276737.0,ont-gamified,Grupo Gaia,Master,Yee Achiever,0.975,1.0,0.5,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.5,1.0
10200.0,9795272.0,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,0.8,0.5833333333333334,0.5,1.0,0.0,0.5,1.0,0.9375,1.0,1.0
10201.0,10276928.0,ont-gamified,Grupo Caronte,Master,Yee Achiever,1.0,1.0,0.5,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0
10202.0,10277036.0,non-gamified,Grupo Team 11,Apprentice,NA,0.975,0.9166666666666666,0.5,0.9444444444444444,1.0,0.5,1.0,0.9375,0.5,0.0
10203.0,9921470.0,non-gamified,Grupo Team 3,Apprentice,NA,0.75,0.5166666666666667,1.0,0.6666666666666666,0.0,0.5,1.0,NA,0.4,1.0
10204.0,10310471.0,ont-gamified,Grupo Hermes,Master,Yee Achiever,0.975,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.8125,1.0,1.0
10206.0,10310721.0,ont-gamified,Grupo Hera,Master,Yee Achiever,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
