UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1,P1s0,P1s1,P1s2,P1s3
10169.0,10377538.0,ont-gamified,Grupo Hefesto,Master,Yee Achiever,40.0,60.0,0.0,17.0,1.0,4.0,6.0,8.0,10.0,12.0,NA,NA,NA,NA
10170.0,10260351.0,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,39.0,60.0,3.0,17.0,0.0,0.0,3.0,15.0,10.0,8.0,NA,NA,NA,NA
10171.0,698531.0,non-gamified,Grupo  Team 6,Apprentice,NA,40.0,58.0,0.0,11.0,1.0,8.0,6.0,16.0,0.0,3.0,1.0,1.0,2.0,2.0
10174.0,10276852.0,ont-gamified,Grupo Urano,Master,Yee Achiever,40.0,44.0,3.0,17.0,1.0,4.0,6.0,8.0,5.0,12.0,NA,NA,NA,NA
10175.0,10310700.0,ont-gamified,Grupo Hélio,Master,Yee Socializer,39.0,60.0,3.0,17.0,1.0,8.0,6.0,16.0,10.0,12.0,NA,NA,NA,NA
10176.0,10276949.0,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,40.0,60.0,3.0,12.0,0.0,8.0,6.0,14.0,4.0,8.0,1.0,1.0,1.0,2.0
10178.0,8656201.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,4.0,43.0,0.0,12.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0
10179.0,10310759.0,non-gamified,Grupo Team 9,Master,NA,40.0,60.0,3.0,17.0,1.0,8.0,6.0,16.0,0.0,12.0,NA,NA,NA,NA
10181.0,10276866.0,non-gamified,Grupo Team 10,Master,NA,40.0,60.0,3.0,17.0,1.0,4.0,6.0,16.0,4.0,12.0,NA,NA,NA,NA
10183.0,10352030.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,31.0,59.0,3.0,18.0,1.0,3.0,2.0,15.0,4.0,0.0,1.0,1.0,1.0,1.0
10184.0,10276675.0,ont-gamified,Grupo Apolo,Master,Yee Socializer,40.0,60.0,1.0,17.0,1.0,4.0,6.0,15.0,10.0,12.0,1.0,2.0,3.0,4.0
10185.0,10276960.0,non-gamified,Grupo Team 12,Apprentice,NA,12.0,46.0,4.0,17.0,1.0,3.0,6.0,7.0,10.0,12.0,NA,NA,NA,NA
10186.0,10310551.0,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,40.0,58.0,2.0,17.0,0.0,8.0,6.0,16.0,0.0,12.0,NA,NA,NA,NA
10187.0,9790781.0,non-gamified,Grupo Team 15,Apprentice,NA,22.0,57.0,3.0,17.0,1.0,4.0,6.0,7.0,0.0,12.0,1.0,2.0,3.0,4.0
10188.0,10276995.0,non-gamified,Grupo Team 3,Master,NA,32.0,60.0,6.0,12.0,1.0,8.0,6.0,16.0,10.0,12.0,1.0,2.0,3.0,3.0
10189.0,9363926.0,ont-gamified,Grupo Hades,Master,Yee Socializer,31.0,54.0,3.0,17.0,1.0,8.0,6.0,15.0,10.0,12.0,1.0,1.0,1.0,1.0
10190.0,10276907.0,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,29.0,54.0,3.0,12.0,1.0,8.0,6.0,5.0,5.0,0.0,NA,NA,NA,NA
10191.0,10276981.0,non-gamified,Grupo  Team 6,Master,NA,32.0,60.0,6.0,17.0,1.0,4.0,6.0,16.0,10.0,12.0,NA,NA,NA,NA
10192.0,10276682.0,non-gamified,Grupo Team 5,Apprentice,NA,38.0,60.0,3.0,17.0,0.0,3.0,6.0,15.0,0.0,8.0,1.0,1.0,2.0,2.0
10193.0,10276762.0,ont-gamified,Grupo Afrodite,Master,Yee Achiever,39.0,59.0,6.0,17.0,1.0,4.0,6.0,16.0,0.0,12.0,1.0,2.0,3.0,4.0
10195.0,10351971.0,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,39.0,60.0,3.0,17.0,1.0,4.0,6.0,7.0,4.0,12.0,NA,NA,NA,NA
10196.0,10310655.0,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,31.0,47.0,3.0,11.0,0.0,4.0,6.0,16.0,5.0,8.0,1.0,1.0,2.0,2.0
10197.0,10276661.0,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,21.0,59.0,0.0,17.0,0.0,8.0,6.0,16.0,5.0,12.0,NA,NA,NA,NA
10198.0,10310888.0,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,21.0,56.0,3.0,11.0,0.0,3.0,6.0,6.0,5.0,8.0,1.0,1.0,1.0,1.0
10199.0,10276737.0,ont-gamified,Grupo Gaia,Master,Yee Achiever,39.0,60.0,3.0,12.0,1.0,8.0,2.0,16.0,5.0,12.0,NA,NA,NA,NA
10200.0,9795272.0,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,32.0,35.0,3.0,18.0,0.0,4.0,6.0,15.0,10.0,12.0,1.0,1.0,1.0,1.0
10201.0,10276928.0,ont-gamified,Grupo Caronte,Master,Yee Achiever,40.0,60.0,3.0,12.0,0.0,8.0,6.0,16.0,10.0,12.0,1.0,2.0,3.0,4.0
