NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA
10277022.0,10214.0,non-gamified,Grupo Team 5,Master,NA,40.0,60.0,4.0,12.0,8.0,8.0,6.0,14.0,8.0,6.0
10277036.0,10202.0,non-gamified,Grupo Team 11,Apprentice,NA,40.0,56.0,4.0,12.0,8.0,4.0,6.0,13.0,7.0,6.0
10277040.0,10213.0,ont-gamified,Grupo Morfeu,Master,Yee Socializer,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,7.0,6.0
10310342.0,10226.0,non-gamified,Grupo Team 8,Master,NA,40.0,56.0,4.0,6.0,12.0,8.0,6.0,14.0,12.0,6.0
10310471.0,10204.0,ont-gamified,Grupo Hermes,Master,Yee Achiever,40.0,60.0,4.0,18.0,12.0,4.0,6.0,13.0,12.0,6.0
10310551.0,10186.0,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,8.0,6.0
10310655.0,10196.0,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,7.0,6.0
10310676.0,10234.0,non-gamified,Grupo Team 7,Master,NA,40.0,36.0,4.0,18.0,12.0,4.0,2.0,6.0,8.0,2.0
10310700.0,10175.0,ont-gamified,Grupo Hélio,Master,Yee Socializer,40.0,60.0,4.0,18.0,12.0,4.0,6.0,14.0,12.0,6.0
10310721.0,10206.0,ont-gamified,Grupo Hera,Master,Yee Achiever,40.0,59.0,4.0,18.0,8.0,3.0,6.0,14.0,12.0,6.0
10310759.0,10179.0,non-gamified,Grupo Team 9,Master,NA,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,7.0,6.0
10310888.0,10198.0,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,40.0,60.0,3.0,12.0,12.0,4.0,6.0,14.0,7.0,6.0
10351971.0,10195.0,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,11.0,4.0,6.0,6.0,12.0,6.0
10351992.0,10230.0,non-gamified,Grupo Team 14,Master,NA,32.0,60.0,3.0,16.0,11.0,4.0,6.0,14.0,7.0,6.0
10352030.0,10183.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,40.0,60.0,3.0,18.0,9.0,3.0,6.0,13.0,2.0,6.0
10377538.0,10169.0,ont-gamified,Grupo Hefesto,Master,Yee Achiever,32.0,60.0,3.0,18.0,11.0,3.0,6.0,7.0,8.0,6.0
10377688.0,10237.0,non-gamified,Grupo Team 11,Master,NA,40.0,60.0,4.0,18.0,11.0,8.0,6.0,6.0,12.0,6.0
