UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,PersonScores.IE,theta.IE,error.IE,PersonScores.PC,theta.PC,error.PC,PersonScores.PT,theta.PT,error.PT,PersonScores,theta,error
10169.0,10377538.0,ont-gamified,Grupo Hefesto,Master,Yee Achiever,22.0,0.8224490761629795,0.4844543610234488,40.0,0.19906040256022367,0.3354194454925105,8.0,0.9437180880678392,0.4172439048911559,18.0,0.025930463551787963,0.1342099672082678
10170.0,10260351.0,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,19.0,0.16813938858053218,0.4914511555030068,45.0,0.8975459569909193,0.4491543230935696,4.0,-0.7934661252579726,1.2578944817820648,20.0,0.6197171569431413,-0.10576300106182945
10171.0,698531.0,non-gamified,Grupo  Team 6,Apprentice,NA,24.0,1.2795930062205665,0.5269491771185071,40.0,0.19906040256022367,0.3354194454925105,5.0,0.12664853824462824,0.7110668526805386,19.666666666666668,0.4506682901787206,0.05043392331015969
10172.0,10273971.0,non-gamified,Grupo Team 1,Master,NA,21.0,0.6099736974815331,0.4794598068941739,34.0,-0.36522186335625767,0.29350108603141317,4.0,-0.7934661252579726,1.2578944817820648,17.0,0.3460726531277493,-0.1616445296188259
10174.0,10276852.0,ont-gamified,Grupo Urano,Master,Yee Achiever,19.0,0.16813938858053218,0.4914511555030068,31.0,-0.6093423355497851,0.28511398848326025,5.0,0.12664853824462824,0.7110668526805386,15.0,-0.18928382840462707,0.021832763768576163
10175.0,10310700.0,ont-gamified,Grupo Hélio,Master,Yee Socializer,24.0,1.2795930062205665,0.5269491771185071,48.0,1.853112368922216,0.7672838343641782,4.0,-0.7934661252579726,1.2578944817820648,22.666666666666668,1.3087238334669182,0.012112843233540152
10176.0,10276949.0,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,17.0,-0.35881401586787753,0.5140925201529228,36.0,-0.192204428606401,0.30280829405113224,11.0,1.3175663338608337,0.36255843971792834,14.0,-0.6228615927783707,0.15144745816204222
10178.0,8656201.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,20.0,0.3948912765941967,0.48227608647545706,38.0,-0.006184121019041173,0.31615882751032376,9.0,1.0852985646392048,0.3880758837051461,16.333333333333332,-0.2321971363546831,0.13678634342687823
10179.0,10310759.0,non-gamified,Grupo Team 9,Master,NA,15.0,-0.9264124251633029,0.48993701124192823,24.0,-1.1572081069649618,0.28539861936291955,8.0,0.9437180880678392,0.4172439048911559,10.333333333333334,-1.0091128733987014,0.11936390857123062
10181.0,10276866.0,non-gamified,Grupo Team 10,Master,NA,17.0,-0.35881401586787753,0.5140925201529228,35.0,-0.28004314211720893,0.2977242175331758,4.0,-0.7934661252579726,1.2578944817820648,16.0,0.051536322424295365,-0.14869258136532204
10183.0,10352030.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,16.0,-0.6543326517017437,0.5092799511321389,36.0,-0.192204428606401,0.30280829405113224,11.0,1.3175663338608337,0.36255843971792834,13.666666666666666,-0.7213678047229927,0.14984326848844762
10184.0,10276675.0,ont-gamified,Grupo Apolo,Master,Yee Socializer,19.0,0.16813938858053218,0.4914511555030068,38.0,-0.006184121019041173,0.31615882751032376,9.0,1.0852985646392048,0.3880758837051461,16.0,-0.3077810990259046,0.13984469976939481
10185.0,10276960.0,non-gamified,Grupo Team 12,Apprentice,NA,16.0,-0.6543326517017437,0.5092799511321389,29.0,-0.7663577678989459,0.2825522543320062,9.0,1.0852985646392048,0.3880758837051461,12.0,-0.8353296614132981,0.134585440586333
10186.0,10310551.0,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,19.0,0.16813938858053218,0.4914511555030068,43.0,0.568778527814775,0.38493374340148473,12.0,1.4251901077188354,0.361367721033329,16.666666666666668,-0.22942406377450938,0.17167239262372083
10188.0,10276995.0,non-gamified,Grupo Team 3,Master,NA,16.0,-0.6543326517017437,0.5092799511321389,31.0,-0.6093423355497851,0.28511398848326025,6.0,0.5179254768634493,0.5481437876895054,13.666666666666666,-0.5938668213716594,0.08208338397529791
10189.0,9363926.0,ont-gamified,Grupo Hades,Master,Yee Socializer,14.0,-1.1584042108881814,0.4686827950943565,34.0,-0.36522186335625767,0.29350108603141317,14.0,1.6545521619976278,0.3804400271224933,11.333333333333334,-1.0593927454140222,0.12724795133442549
10190.0,10276907.0,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,19.0,0.16813938858053218,0.4914511555030068,38.0,-0.006184121019041173,0.31615882751032376,7.0,0.7651020965287348,0.46543496375560767,16.666666666666668,-0.20104894298908127,0.11405833975257429
10191.0,10276981.0,non-gamified,Grupo  Team 6,Master,NA,23.0,1.041661796243481,0.4991231961083929,37.0,-0.10114378953694451,0.3088902801402705,5.0,0.12664853824462824,0.7110668526805386,18.333333333333332,0.27128982282063613,0.03231554118937493
10192.0,10276682.0,non-gamified,Grupo Team 5,Apprentice,NA,25.0,1.5553167566888284,0.5752041012322648,34.0,-0.36522186335625767,0.29350108603141317,4.0,-0.7934661252579726,1.2578944817820648,18.333333333333332,0.6611870061968478,-0.12972976483946227
10193.0,10276762.0,ont-gamified,Grupo Afrodite,Master,Yee Achiever,18.0,-0.08038848747269449,0.5043580861250034,34.0,-0.36522186335625767,0.29350108603141317,5.0,0.12664853824462824,0.7110668526805386,15.666666666666666,-0.19075296302452682,0.028930773158625984
