UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,theta,error,WLE.rel
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,NA,0.7428250324180973,0.5201119689447289,0.8579808987053142
10171.0,698531.0,ont-gamified,Mafia,Master,Social Achiever,2.767237326539527,0.5640387623187058,0.8579808987053142
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,NA,1.9906110408136475,0.5008514596790399,0.8579808987053142
10174.0,10276852.0,w/o-gamified,Grupo7,Master,NA,1.2745831746021241,0.5041606383649226,0.8579808987053142
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever,0.4548622136164107,0.521441827263477,0.8579808987053142
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever,0.16791234567841956,0.5129374642281377,0.8579808987053142
10179.0,10310759.0,w/o-gamified,Grupo10,Master,NA,0.4548622136164107,0.521441827263477,0.8579808987053142
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,NA,-1.316367575327888,0.4447506736022946,0.8579808987053142
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,NA,-0.950851107942684,0.44369855541753156,0.8579808987053142
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,NA,0.16791234567841956,0.5129374642281377,0.8579808987053142
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,NA,1.518644033440787,0.4982490578835035,0.8579808987053142
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever,-0.342373045721751,0.4787017563933507,0.8579808987053142
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever,-0.342373045721751,0.4787017563933507,0.8579808987053142
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever,-1.5029079949426398,0.45416766163994177,0.8579808987053142
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,NA,-0.5607739336003862,0.4627625825645366,0.8579808987053142
10191.0,10276981.0,w/o-gamified,Grupo1,Master,NA,-1.5029079949426398,0.45416766163994177,0.8579808987053142
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,-0.10032552078756582,0.4968152146482987,0.8579808987053142
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,-2.4746913210133505,0.6209806794261471,0.8579808987053142
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,NA,-0.5607739336003862,0.4627625825645366,0.8579808987053142
10198.0,10310888.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,0.4548622136164107,0.521441827263477,0.8579808987053142
10199.0,10276737.0,w/o-gamified,Grupo1,Apprentice,NA,-0.950851107942684,0.44369855541753156,0.8579808987053142
