UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,theta,error,WLE.rel
10169.0,10377538.0,non-gamified,Grupo Team 10,Apprentice,NA,-0.8071144506354303,0.4733642248680834,0.6891837389534274
10170.0,10260351.0,non-gamified,Grupo Team 6,Apprentice,NA,0.44052628594143495,0.5481685936360811,0.6891837389534274
10171.0,698531.0,ont-gamified,Grupo Losvakai,Master,Yee Achiever,0.7357406959794577,0.5918855054480142,0.6891837389534274
10172.0,10273971.0,ont-gamified,Grupo Koil,Master,Yee Achiever,-0.07604771059156659,0.5075823220691563,0.6891837389534274
10174.0,10276852.0,non-gamified,Grupo Team 1,Apprentice,NA,-0.8071144506354303,0.4733642248680834,0.6891837389534274
10175.0,10310700.0,non-gamified,Grupo Team 6,Master,NA,1.0956641887062895,0.6707620446869212,0.6891837389534274
10176.0,10276949.0,non-gamified,Grupo Team 9,Apprentice,NA,-0.8071144506354303,0.4733642248680834,0.6891837389534274
10178.0,8656201.0,non-gamified,Grupo Team 11,Apprentice,NA,-0.07604771059156659,0.5075823220691563,0.6891837389534274
10179.0,10310759.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,0.17581937370310552,0.5227683856600865,0.6891837389534274
10181.0,10276866.0,non-gamified,Grupo Team 7,Apprentice,NA,-1.0243944377519751,0.46051209226884016,0.6891837389534274
10183.0,10352030.0,non-gamified,Grupo Belos,Apprentice,Yee Socializer,-0.8071144506354303,0.4733642248680834,0.6891837389534274
10184.0,10276675.0,non-gamified,Grupo Team 7,Master,NA,1.0956641887062895,0.6707620446869212,0.6891837389534274
10185.0,10276960.0,ont-gamified,Grupo Tosskor,Master,Yee Achiever,-0.8071144506354303,0.4733642248680834,0.6891837389534274
10186.0,10310551.0,non-gamified,Grupo Team 5,Apprentice,NA,0.44052628594143495,0.5481685936360811,0.6891837389534274
10187.0,9790781.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,-0.3246338035754202,0.49696856270888223,0.6891837389534274
10188.0,10276995.0,ont-gamified,Grupo Paldira,Master,Yee Achiever,-0.5710388437252591,0.4862275628588457,0.6891837389534274
10189.0,9363926.0,non-gamified,Grupo Team 2,Apprentice,NA,-2.195704298639338,0.5443490165119339,0.6891837389534274
10190.0,10276907.0,non-gamified,Grupo Team 8,Apprentice,NA,0.7357406959794577,0.5918855054480142,0.6891837389534274
10191.0,10276981.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,1.0956641887062895,0.6707620446869212,0.6891837389534274
10192.0,10276682.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,2.688996118881437,1.415469168016758,0.6891837389534274
10193.0,10276762.0,non-gamified,Grupo Team 2,Master,NA,-1.5892360279087838,0.45129686392186463,0.6891837389534274
10196.0,10310655.0,non-gamified,Grupo Team 5,Apprentice,NA,-1.222983645807668,0.45108481276612244,0.6891837389534274
10197.0,10276661.0,non-gamified,Grupo Team 11,Master,NA,-0.5710388437252591,0.4862275628588457,0.6891837389534274
10198.0,10310888.0,non-gamified,Grupo Team 1,Apprentice,NA,2.688996118881437,1.415469168016758,0.6891837389534274
10200.0,9795272.0,non-gamified,Grupo Team 4,Apprentice,NA,-0.07604771059156659,0.5075823220691563,0.6891837389534274
10201.0,10276928.0,non-gamified,Grupo Team 10,Master,NA,0.7357406959794577,0.5918855054480142,0.6891837389534274
10202.0,10277036.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,-0.07604771059156659,0.5075823220691563,0.6891837389534274
10203.0,9921470.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,2.688996118881437,1.415469168016758,0.6891837389534274
10204.0,10310471.0,non-gamified,Grupo Team 5,Master,NA,1.0956641887062895,0.6707620446869212,0.6891837389534274
10206.0,10310721.0,non-gamified,Grupo Team 9,Master,NA,-0.07604771059156659,0.5075823220691563,0.6891837389534274
10208.0,10276932.0,ont-gamified,Grupo Yeka,Master,Yee Socializer,-0.3246338035754202,0.49696856270888223,0.6891837389534274
10209.0,10262669.0,non-gamified,Grupo Team 1,Master,NA,-1.9685531480569864,0.4926085287288628,0.6891837389534274
10210.0,10277015.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,-1.222983645807668,0.45108481276612244,0.6891837389534274
10211.0,9311643.0,ont-gamified,Grupo Razorg,Master,Yee Achiever,-1.5892360279087838,0.45129686392186463,0.6891837389534274
10212.0,9065750.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,-0.3246338035754202,0.49696856270888223,0.6891837389534274
10213.0,10277040.0,non-gamified,Grupo Team 8,Master,NA,0.44052628594143495,0.5481685936360811,0.6891837389534274
10214.0,10277022.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,-0.3246338035754202,0.49696856270888223,0.6891837389534274
10215.0,9285227.0,non-gamified,Grupo Team 7,Apprentice,NA,0.17581937370310552,0.5227683856600865,0.6891837389534274
10216.0,10276720.0,ont-gamified,Grupo Ellaru,Master,Yee Socializer,2.688996118881437,1.415469168016758,0.6891837389534274
10217.0,9805341.0,ont-gamified,Grupo Belos,Master,Yee Socializer,0.7357406959794577,0.5918855054480142,0.6891837389534274
10218.0,9842913.0,non-gamified,Grupo Team 10,Apprentice,NA,1.0956641887062895,0.6707620446869212,0.6891837389534274
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,-1.5892360279087838,0.45129686392186463,0.6891837389534274
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,NA,2.688996118881437,1.415469168016758,0.6891837389534274
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,0.17581937370310552,0.5227683856600865,0.6891837389534274
10223.0,9795185.0,non-gamified,Grupo Team 3,Master,NA,-1.5892360279087838,0.45129686392186463,0.6891837389534274
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,NA,0.17581937370310552,0.5227683856600865,0.6891837389534274
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,0.7357406959794577,0.5918855054480142,0.6891837389534274
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,NA,0.7357406959794577,0.5918855054480142,0.6891837389534274
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,-0.5710388437252591,0.4862275628588457,0.6891837389534274
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,1.0956641887062895,0.6707620446869212,0.6891837389534274
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,NA,-0.3246338035754202,0.49696856270888223,0.6891837389534274
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,-0.3246338035754202,0.49696856270888223,0.6891837389534274
10233.0,9805320.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,-0.3246338035754202,0.49696856270888223,0.6891837389534274
10234.0,10310676.0,non-gamified,Grupo Team 6,Apprentice,NA,-0.8071144506354303,0.4733642248680834,0.6891837389534274
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,-0.07604771059156659,0.5075823220691563,0.6891837389534274
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,0.17581937370310552,0.5227683856600865,0.6891837389534274
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,NA,-1.4088093079634902,0.4474400482350821,0.6891837389534274
10242.0,9424506.0,non-gamified,Grupo Team 11,Apprentice,NA,-0.8071144506354303,0.4733642248680834,0.6891837389534274
