UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re1,Un3,Ap2a,Ap2b,An3a,An3b,Ev2
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,0.6666666666666666,0.45,1.0,0.42857142857142855,0.25,0.4166666666666667,0.7222222222222222
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,NA,0.9743589743589743,0.25,1.0,0.0,0.5,0.0,0.75
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,0.47435897435897434,0.45,1.0,0.0,0.0,0.0,0.6944444444444444
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,NA,0.9615384615384616,1.0,1.0,0.42857142857142855,0.75,0.4166666666666667,0.19444444444444445
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,0.9743589743589743,0.425,1.0,0.0,0.5,1.0,0.4166666666666667
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,NA,0.6282051282051282,0.45,0.0,0.42857142857142855,0.6875,0.0,0.0
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,0.782051282051282,0.725,0.0,1.0,0.25,0.5,0.0
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,0.6538461538461539,1.0,1.0,0.42857142857142855,0.75,0.4166666666666667,1.0
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,NA,0.6666666666666666,1.0,1.0,1.0,0.75,1.0,1.0
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,0.48717948717948717,0.0,1.0,0.42857142857142855,0.5,0.3333333333333333,0.4444444444444444
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,0.8205128205128205,0.25,1.0,1.0,1.0,0.5,1.0
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,0.8076923076923077,0.475,0.0,1.0,0.6875,0.4166666666666667,0.16666666666666666
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,NA,0.48717948717948717,1.0,1.0,0.0,0.25,0.0,0.7222222222222222
