UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReA,UnC,ApB1,ApB2,AnC1,AnC2,EvB,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3,PEs0,PEs1,PEs2,PEs3
10204.0,10310471.0,non-gamified,Grupo Team 5,Master,NA,65520.0,65520.0,65520.0,65520.0,65520.0,40040.0,65520.0,65520.0,32760.0,21840.0,16380.0,65520.0,65520.0,65520.0,49140.0,65520.0,32760.0,21840.0,32760.0
10206.0,10310721.0,non-gamified,Grupo Team 9,Master,NA,53690.0,65520.0,65520.0,28080.0,65520.0,14560.0,65520.0,65520.0,32760.0,43680.0,32760.0,65520.0,65520.0,65520.0,65520.0,0.0,0.0,0.0,0.0
10208.0,10276932.0,ont-gamified,Grupo Yeka,Master,Yee Socializer,65520.0,65520.0,65520.0,65520.0,65520.0,43680.0,65520.0,65520.0,32760.0,43680.0,32760.0,65520.0,65520.0,43680.0,49140.0,65520.0,65520.0,43680.0,49140.0
10210.0,10277015.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,65520.0,65520.0,65520.0,32760.0,65520.0,18200.0,65520.0,65520.0,65520.0,43680.0,49140.0,65520.0,32760.0,21840.0,16380.0,0.0,0.0,0.0,0.0
10212.0,9065750.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,43680.0,63e3,65520.0,32760.0,65520.0,21840.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10213.0,10277040.0,non-gamified,Grupo Team 8,Master,NA,54600.0,65520.0,65520.0,65520.0,65520.0,21840.0,65520.0,NA,NA,NA,NA,NA,NA,NA,NA,65520.0,65520.0,65520.0,65520.0
10214.0,10277022.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,43680.0,65520.0,65520.0,65520.0,43680.0,21840.0,65520.0,65520.0,32760.0,21840.0,16380.0,65520.0,32760.0,43680.0,32760.0,65520.0,32760.0,21840.0,16380.0
10215.0,9285227.0,non-gamified,Grupo Team 7,Apprentice,NA,54600.0,65520.0,65520.0,65520.0,43680.0,65520.0,65520.0,65520.0,32760.0,21840.0,32760.0,65520.0,32760.0,43680.0,32760.0,0.0,0.0,0.0,0.0
10217.0,9805341.0,ont-gamified,Grupo Belos,Master,Yee Socializer,65520.0,65520.0,65520.0,65520.0,65520.0,21840.0,65520.0,65520.0,65520.0,65520.0,49140.0,65520.0,32760.0,21840.0,16380.0,65520.0,32760.0,21840.0,16380.0
10218.0,9842913.0,non-gamified,Grupo Team 10,Apprentice,NA,65520.0,65520.0,65520.0,18720.0,7280.0,43680.0,29120.0,NA,NA,NA,NA,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0,65520.0
