UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,theta,error,WLE.rel
10169.0,10377538.0,non-gamified,Grupo Team 10,Apprentice,NA,-1.011259742076968,0.3005400489979219,0.8128260727944607
10170.0,10260351.0,non-gamified,Grupo Team 6,Apprentice,NA,0.2471129891271897,0.3206692568064034,0.8128260727944607
10171.0,698531.0,ont-gamified,Grupo Losvakai,Master,Yee Achiever,0.6775395736416004,0.34238231455585855,0.8128260727944607
10172.0,10273971.0,ont-gamified,Grupo Koil,Master,Yee Achiever,0.3504385870039672,0.3250600254161989,0.8128260727944607
10174.0,10276852.0,non-gamified,Grupo Team 1,Apprentice,NA,-0.7555940573872364,0.29506861552085595,0.8128260727944607
10175.0,10310700.0,non-gamified,Grupo Team 6,Master,NA,1.1854582744438316,0.38890221824064897,0.8128260727944607
10176.0,10276949.0,non-gamified,Grupo Team 9,Apprentice,NA,-0.6711884370789655,0.29491464650504357,0.8128260727944607
10178.0,8656201.0,non-gamified,Grupo Team 11,Apprentice,NA,0.3504385870039672,0.3250600254161989,0.8128260727944607
10179.0,10310759.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,0.04746596278400641,0.31293600327807825,0.8128260727944607
10181.0,10276866.0,non-gamified,Grupo Team 7,Apprentice,NA,-0.5863850352781681,0.29546259175010076,0.8128260727944607
10183.0,10352030.0,non-gamified,Grupo Belos,Apprentice,Yee Socializer,-0.5863850352781681,0.29546259175010076,0.8128260727944607
10184.0,10276675.0,non-gamified,Grupo Team 7,Master,NA,1.0461512661312262,0.37297993649505307,0.8128260727944607
10185.0,10276960.0,ont-gamified,Grupo Tosskor,Master,Yee Achiever,-0.23542232392665582,0.30323512917771445,0.8128260727944607
10186.0,10310551.0,non-gamified,Grupo Team 5,Apprentice,NA,-0.04899791807321898,0.3094502538792821,0.8128260727944607
10187.0,9790781.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,-0.04899791807321898,0.3094502538792821,0.8128260727944607
10188.0,10276995.0,ont-gamified,Grupo Paldira,Master,Yee Achiever,-0.23542232392665582,0.30323512917771445,0.8128260727944607
10190.0,10276907.0,non-gamified,Grupo Team 8,Apprentice,NA,-0.7555940573872364,0.29506861552085595,0.8128260727944607
10191.0,10276981.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,1.7085564913064826,0.4755533520861329,0.8128260727944607
10193.0,10276762.0,non-gamified,Grupo Team 2,Master,NA,-0.5863850352781681,0.29546259175010076,0.8128260727944607
10196.0,10310655.0,non-gamified,Grupo Team 5,Apprentice,NA,-0.5863850352781681,0.29546259175010076,0.8128260727944607
10197.0,10276661.0,non-gamified,Grupo Team 11,Master,NA,-0.4139342499330048,0.2983796542138903,0.8128260727944607
10200.0,9795272.0,non-gamified,Grupo Team 4,Apprentice,NA,-0.1432714652541453,0.3062043821335623,0.8128260727944607
10201.0,10276928.0,non-gamified,Grupo Team 10,Master,NA,0.6775395736416004,0.34238231455585855,0.8128260727944607
10202.0,10277036.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,-0.1432714652541453,0.3062043821335623,0.8128260727944607
10204.0,10310471.0,non-gamified,Grupo Team 5,Master,NA,2.271501926982107,0.6226644159740594,0.8128260727944607
10206.0,10310721.0,non-gamified,Grupo Team 9,Master,NA,-0.3255773711049619,0.30060277613763975,0.8128260727944607
10208.0,10276932.0,ont-gamified,Grupo Yeka,Master,Yee Socializer,-0.04899791807321898,0.3094502538792821,0.8128260727944607
10209.0,10262669.0,non-gamified,Grupo Team 1,Master,NA,-1.381079018110738,0.3245032414004944,0.8128260727944607
10210.0,10277015.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,-0.5863850352781681,0.29546259175010076,0.8128260727944607
10212.0,9065750.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,-0.5007604435171952,0.2966414951176115,0.8128260727944607
10213.0,10277040.0,non-gamified,Grupo Team 8,Master,NA,0.9165656693613494,0.3604795823180435,0.8128260727944607
10214.0,10277022.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,0.04746596278400641,0.31293600327807825,0.8128260727944607
10215.0,9285227.0,non-gamified,Grupo Team 7,Apprentice,NA,-0.1432714652541453,0.3062043821335623,0.8128260727944607
10216.0,10276720.0,ont-gamified,Grupo Ellaru,Master,Yee Socializer,0.9165656693613494,0.3604795823180435,0.8128260727944607
10217.0,9805341.0,ont-gamified,Grupo Belos,Master,Yee Socializer,0.5651809586659317,0.3356680810812359,0.8128260727944607
10218.0,9842913.0,non-gamified,Grupo Team 10,Apprentice,NA,-0.04899791807321898,0.3094502538792821,0.8128260727944607
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,-0.6711884370789655,0.29491464650504357,0.8128260727944607
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,NA,-0.3255773711049619,0.30060277613763975,0.8128260727944607
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,-0.1432714652541453,0.3062043821335623,0.8128260727944607
10223.0,9795185.0,non-gamified,Grupo Team 3,Master,NA,-1.189493222957481,0.3094826510278833,0.8128260727944607
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,NA,0.45633937173202754,0.32998793656144604,0.8128260727944607
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,0.5651809586659317,0.3356680810812359,0.8128260727944607
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,NA,0.794264490221861,0.3504943375248032,0.8128260727944607
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,-0.1432714652541453,0.3062043821335623,0.8128260727944607
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,1.5094390257013832,0.4372354493448064,0.8128260727944607
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,NA,-0.6711884370789655,0.29491464650504357,0.8128260727944607
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,0.2471129891271897,0.3206692568064034,0.8128260727944607
10233.0,9805320.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,0.45633937173202754,0.32998793656144604,0.8128260727944607
10234.0,10310676.0,non-gamified,Grupo Team 6,Apprentice,NA,0.1461552881150791,0.31666063180616194,0.8128260727944607
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,0.04746596278400641,0.31293600327807825,0.8128260727944607
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,0.2471129891271897,0.3206692568064034,0.8128260727944607
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,NA,-1.283120596318897,0.31608004435731846,0.8128260727944607
10242.0,9424506.0,non-gamified,Grupo Team 11,Apprentice,NA,-1.381079018110738,0.3245032414004944,0.8128260727944607
