UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re1,Un3,Ap2a,Ap2b,An3a,An3b,Ev2,P2s0,P2s1,P2s2,P2s3,P3s0,P3s1,P3s2,P3s3
10200.0,9795272.0,non-gamified,Grupo Team 4,Apprentice,NA,38.0,18.0,1.0,0.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10201.0,10276928.0,non-gamified,Grupo Team 10,Master,NA,63.0,40.0,1.0,6.0,4.0,12.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10202.0,10277036.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,62.0,29.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10203.0,9921470.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,49.0,7.0,1.0,0.0,3.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10204.0,10310471.0,non-gamified,Grupo Team 5,Master,NA,51.0,40.0,1.0,6.0,16.0,12.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10206.0,10310721.0,non-gamified,Grupo Team 9,Master,NA,65.0,29.0,1.0,6.0,12.0,12.0,36.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0
10208.0,10276932.0,ont-gamified,Grupo Yeka,Master,Yee Socializer,65.0,40.0,1.0,14.0,12.0,12.0,36.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0
10210.0,10277015.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,50.0,18.0,1.0,6.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
10212.0,9065750.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,74.0,40.0,1.0,6.0,8.0,5.0,36.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0
10213.0,10277040.0,non-gamified,Grupo Team 8,Master,NA,64.0,39.0,1.0,6.0,15.0,12.0,26.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
