UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA
10226,10310342,non-gamified,Grupo Team 8,Master,NA,1,0.9333333333333333,1,0.3333333333333333,1,1,1,1,1,1
10227,9274382,non-gamified,Grupo Team 4,Apprentice,NA,0.8,1,1,0.6666666666666666,1,1,1,1,0.6666666666666666,0
10230,10351992,non-gamified,Grupo Team 14,Master,NA,0.8,1,0.75,0.8888888888888888,0.9166666666666666,0.5,1,1,0.5833333333333334,1
10231,10276911,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,1,1,1,1,1,0.5,1,1,1,1
10232,10276974,ont-gamified,Grupo Artemis,Master,Yee Achiever,1,1,1,1,1,0,1,1,0.5833333333333334,1
10233,9805320,non-gamified,Grupo Team 16,Apprentice,NA,1,1,1,0.3333333333333333,0.9166666666666666,0.375,1,1,1,1
10234,10310676,non-gamified,Grupo Team 7,Master,NA,1,0.6,1,1,1,0.5,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.3333333333333333
10237,10377688,non-gamified,Grupo Team 11,Master,NA,1,1,1,1,0.9166666666666666,1,1,0.42857142857142855,1,1
10238,10276953,non-gamified,Grupo Team 13,Apprentice,NA,1,0.9,0.75,1,1,0.5,1,0.9285714285714286,0.5833333333333334,1
10240,10276654,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,1,0.9666666666666667,0,1,0.9166666666666666,1,1,1,0.5833333333333334,1
