UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA,PBs0,PBs1,PBs2,PBs3
10200,9795272,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,32,60,4,18,12,8,6,14,3,6,NA,NA,NA,NA
10201,10276928,ont-gamified,Grupo Caronte,Master,Yee Achiever,40,60,3,18,12,4,6,14,12,6,1,1,1,1
10202,10277036,non-gamified,Grupo Team 11,Apprentice,NA,40,56,4,12,8,4,6,13,7,6,NA,NA,NA,NA
10203,9921470,non-gamified,Grupo Team 3,Apprentice,NA,23,30,0,18,10,3,5,0,2,2,0,0,0,0
10204,10310471,ont-gamified,Grupo Hermes,Master,Yee Achiever,40,60,4,18,12,4,6,13,12,6,0,0,0,0
10206,10310721,ont-gamified,Grupo Hera,Master,Yee Achiever,40,59,4,18,8,3,6,14,12,6,1,2,3,4
10208,10276932,non-gamified,Grupo Team 7,Apprentice,NA,40,60,4,18,12,4,6,14,12,6,1,1,2,2
10209,10262669,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,40,59,4,12,12,8,6,14,12,6,NA,NA,NA,NA
10210,10277015,non-gamified,Grupo Team 9,Apprentice,NA,32,60,4,17,9,4,6,13,7,6,NA,NA,NA,NA
10212,9065750,non-gamified,Grupo Team 4,Master,NA,24,60,4,18,12,4,6,14,12,6,NA,NA,NA,NA
10213,10277040,ont-gamified,Grupo Morfeu,Master,Yee Socializer,40,60,4,18,12,8,6,14,7,6,NA,NA,NA,NA
10214,10277022,non-gamified,Grupo Team 5,Master,NA,40,60,4,12,8,8,6,14,8,6,1,1,1,1
10215,9285227,ont-gamified,Grupo Zeus,Master,Yee Socializer,40,60,4,12,12,8,6,13,12,6,0,0,0,0
10216,10276720,non-gamified,Grupo Team 15,Master,NA,40,48,4,18,12,8,6,14,12,6,1,2,3,4
10217,9805341,non-gamified,Grupo Team 13,Master,NA,40,60,4,18,12,8,6,14,12,6,1,2,3,4
10218,9842913,ont-gamified,Grupo Ares,Master,Yee Achiever,32,60,4,18,9,8,6,14,12,6,NA,NA,NA,NA
10219,10276831,non-gamified,Grupo Team 12,Master,NA,40,60,4,18,12,3,6,14,7,6,NA,NA,NA,NA
10220,9760151,non-gamified,Grupo Team 2,Apprentice,NA,40,58,0,18,12,8,6,14,7,6,NA,NA,NA,NA
10221,9082496,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,32,56,0,5,7,3,6,14,7,6,NA,NA,NA,NA
10222,9436110,non-gamified,Grupo Team 16,Master,NA,23,60,4,18,12,4,6,14,3,6,NA,NA,NA,NA
10223,9795185,ont-gamified,Grupo Cronus,Master,Yee Achiever,40,56,4,18,12,8,6,13,12,6,NA,NA,NA,NA
10224,9368772,non-gamified,Grupo Team 10,Apprentice,NA,22,53,4,18,12,8,6,13,12,6,NA,NA,NA,NA
10226,10310342,non-gamified,Grupo Team 8,Master,NA,40,56,4,6,12,8,6,14,12,6,NA,NA,NA,NA
10227,9274382,non-gamified,Grupo Team 4,Apprentice,NA,32,60,4,12,12,8,6,14,8,0,NA,NA,NA,NA
10230,10351992,non-gamified,Grupo Team 14,Master,NA,32,60,3,16,11,4,6,14,7,6,NA,NA,NA,NA
10231,10276911,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,40,60,4,18,12,4,6,14,12,6,1,1,1,1
10232,10276974,ont-gamified,Grupo Artemis,Master,Yee Achiever,40,60,4,18,12,0,6,14,7,6,NA,NA,NA,NA
10233,9805320,non-gamified,Grupo Team 16,Apprentice,NA,40,60,4,6,11,3,6,14,12,6,NA,NA,NA,NA
10234,10310676,non-gamified,Grupo Team 7,Master,NA,40,36,4,18,12,4,2,6,8,2,NA,NA,NA,NA
10237,10377688,non-gamified,Grupo Team 11,Master,NA,40,60,4,18,11,8,6,6,12,6,NA,NA,NA,NA
10238,10276953,non-gamified,Grupo Team 13,Apprentice,NA,40,54,3,18,12,4,6,13,7,6,NA,NA,NA,NA
10240,10276654,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,40,58,0,18,11,8,6,14,7,6,1,1,1,1
