UserID,NroUSP,startP1,corrP1,exatP1,startP2,corrP2,exatP2,startP3,corrP3,exatP3,startP4,corrP4,exatP4,startPA,corrPA,exatPA,startPB,corrPB,exatPB,startPC,corrPC,exatPC,startPD,corrPD,exatPD,startPE,corrPE,exatPE,startPF,corrPF,exatPF,startPG,corrPG,exatPG,startPH,corrPH,exatPH,P1s0,P1s1,P1s2,P1s3,P2s0,P2s1,P2s2,P2s3,P3s0,P3s1,P3s2,P3s3,P4s0,P4s1,P4s2,P4s3,PAs0,PAs1,PAs2,PAs3,PBs0,PBs1,PBs2,PBs3,PCs0,PCs1,PCs2,PCs3,PDs0,PDs1,PDs2,PDs3,PEs0,PEs1,PEs2,PEs3,PFs0,PFs1,PFs2,PFs3,PGs0,PGs1,PGs2,PGs3,PHs0,PHs1,PHs2,PHs3
10222.0,9436110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10220.0,9760151.0,1490892710.0,0.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10187.0,9790781.0,1490724656.0,10.0,573.0,1491508032.0,10.0,254.0,1492534312.0,10.0,4913.0,0.0,0.0,0.0,1492478131.0,10.0,341.0,1492478707.0,10.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10223.0,9795185.0,0.0,0.0,0.0,1491408835.0,10.0,216.0,1492099491.0,10.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10200.0,9795272.0,1490836953.0,10.0,4854.0,1491847204.0,10.0,4507.0,1492285440.0,10.0,25241.0,1495645952.0,0.0,20554.0,1492892078.0,10.0,1188.0,0.0,0.0,0.0,1494701103.0,10.0,4156.0,1494783372.0,10.0,3177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10233.0,9805320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10217.0,9805341.0,1490725764.0,10.0,780.0,1491401406.0,10.0,360.0,1492396073.0,10.0,4411.0,0.0,0.0,0.0,1492532694.0,10.0,728.0,1492533528.0,10.0,436.0,1494354773.0,10.0,494.0,1494355369.0,10.0,1810.0,1494357796.0,10.0,12388.0,1497668059.0,10.0,1418.0,1497670010.0,10.0,999.0,1497673296.0,10.0,4327.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0
10218.0,9842913.0,1490833680.0,10.0,719.0,1491435810.0,10.0,1735.0,1492476501.0,10.0,195.0,0.0,0.0,0.0,1492476951.0,10.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,1494891071.0,10.0,141.0,1494895980.0,10.0,824.0,0.0,0.0,0.0,1499463530.0,10.0,7.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,1.0,2.0,3.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,NA,NA,NA,NA
10241.0,9885286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10203.0,9921470.0,1490882556.0,0.0,6105.0,1492694156.0,10.0,2201.0,1492696628.0,0.0,99.0,0.0,0.0,0.0,1492645265.0,10.0,683.0,1492646095.0,0.0,4625.0,1494352639.0,10.0,1078.0,1494861988.0,10.0,977.0,1494625823.0,0.0,2427.0,0.0,0.0,0.0,0.0,0.0,0.0,1499100092.0,0.0,3551.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
10170.0,10260351.0,0.0,0.0,0.0,1491791894.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495503450.0,10.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,1499448179.0,10.0,1247.0,1499456003.0,10.0,1006.0,1499450338.0,10.0,5189.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,3.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
10209.0,10262669.0,1490977483.0,0.0,2368.0,1491428709.0,10.0,360.0,1492012792.0,10.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494979854.0,10.0,1946.0,1495769200.0,0.0,3179.0,0.0,0.0,0.0,1499389334.0,10.0,2865.0,1499394168.0,10.0,7333.0,1499403255.0,0.0,2453.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10172.0,10273971.0,1490751193.0,10.0,1314.0,1492456379.0,10.0,108.0,1492456619.0,10.0,2278.0,0.0,0.0,0.0,1492455544.0,10.0,375.0,1492456062.0,10.0,231.0,1494347608.0,10.0,277.0,1494348100.0,10.0,272.0,1494442023.0,0.0,6201.0,1499476055.0,10.0,1586.0,1499477045.0,10.0,1483.0,1499481825.0,10.0,675.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,1.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0
10240.0,10276654.0,0.0,0.0,0.0,1491409459.0,10.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,1492528581.0,10.0,1394.0,1492528340.0,10.0,3966.0,1494368599.0,10.0,545.0,1494375257.0,10.0,529.0,1494886099.0,10.0,5611.0,1499443878.0,10.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,1.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA
10197.0,10276661.0,0.0,0.0,0.0,1491912967.0,10.0,1565.0,0.0,0.0,0.0,1495579898.0,10.0,8693.0,1492548595.0,10.0,5906.0,1492946751.0,10.0,3040.0,1494865832.0,10.0,3406.0,1494877955.0,10.0,2748.0,1495564317.0,0.0,578.0,1497990540.0,10.0,3020.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,1.0,1.0,2.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA
10184.0,10276675.0,1490808515.0,10.0,734.0,1491359298.0,10.0,997.0,1491609232.0,10.0,809.0,1495579420.0,10.0,9838.0,1492445317.0,10.0,317.0,1492446764.0,10.0,664.0,1494376546.0,10.0,154.0,1494376886.0,10.0,1681.0,1494380512.0,10.0,3518.0,1497655770.0,10.0,1602.0,1497672202.0,10.0,3400.0,1497676420.0,10.0,10830.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
