NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,Re2,Re1,Un2,Un1,Ap2,Ap3,Ap1,An3,Ev2,Ev1,score
10277022,10214,non-gamified,Grupo Team 5,Master,NA,0.7,0.48,0.45,0.53,1,1.1,1,1.2,1.4,1.3,9.16
10277036,10202,non-gamified,Grupo Team 11,Apprentice,NA,0.6,0.33,0.45,0.64,1,0.55,1,1.03,0.7,0,6.3
10277040,10213,ont-gamified,Grupo Morfeu,Master,Yee Socializer,0.18,0.48,0.9,0.64,1,1.1,1,1.2,0.35,1.3,8.15
10310342,10226,non-gamified,Grupo Team 8,Master,NA,0.22,0.55,0.45,0.64,1,1.1,1,1.2,0.7,1.3,8.16
10310471,10204,ont-gamified,Grupo Hermes,Master,Yee Achiever,0.6,0.6,0.9,0.64,1,1.1,1,0.69,1.4,1.3,9.229999999999999
10310492,10228,non-gamified,Grupo Team 14,Apprentice,NA,0,0.19,0.45,0.64,1,0.18,1,1.2,1.4,0.87,6.930000000000001
10310551,10186,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,0.7,0.49,0,0.64,0,1.1,1,1.2,0,1.3,6.430000000000001
10310655,10196,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,0.46,0.43,0.45,0.37,NA,0.55,1,1.2,0.7,0.87,6.03
10310676,10234,non-gamified,Grupo Team 7,Master,NA,0.6,0.36,0.9,0.64,1,0.55,1,1.2,1.4,0.87,8.52
10310700,10175,ont-gamified,Grupo Hélio,Master,Yee Socializer,0.6,0.6,0.45,0.64,1,1.1,1,1.2,1.4,1.3,9.29
10310721,10206,ont-gamified,Grupo Hera,Master,Yee Achiever,0.7,0.6,0.45,0.53,1,1.1,1,1.2,1.4,1.3,9.28
10310759,10179,non-gamified,Grupo Team 9,Master,NA,0.7,0.6,0.45,0.64,1,1.1,1,1.2,0,1.3,7.99
10310888,10198,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,0.12,0.38,0.45,0.37,NA,0.18,1,0.26,0.7,0.87,4.34
10351971,10195,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,0.6,0.6,0.45,0.64,1,0.55,1,0.43,0.35,1.3,6.92
10351992,10230,non-gamified,Grupo Team 14,Master,NA,0,0.44,0.9,0.48,0,1.1,1,1.2,1.4,0.87,7.38
10352030,10183,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,0.46,0.55,0.45,0.8,1,0.18,0,1.03,0.35,0,4.82
10377538,10169,ont-gamified,Grupo Hefesto,Master,Yee Achiever,0.7,0.6,0,0.64,1,0.55,1,0.6,1.4,1.3,7.79
10377688,10237,non-gamified,Grupo Team 11,Master,NA,0.6,0.6,0.45,0.8,1,1.1,1,NA,0.7,1.3,7.55
