UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item22IE,Item09IE,Item12IE,Item24IE,Item21IE,Item01IE,Item17PC,Item15PC,Item06PC,Item02PC,Item08PC,Item16PT,Item14PT,Item18PT,Item11PT,Item13EI,Item03EI,Item07EI,Interest/Enjoyment,Perceived Choice,Pressure/Tension,Effort/Importance,Intrinsic Motivation
10169,10377538,ont-gamified,Grupo Hefesto,Master,Yee Achiever,6,6,6,6,6,4,2,2,6,4,2,4,1,2,7,2,6,2,5.666666666666667,4.8,2,6,5.616666666666667
10170,10260351,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,6,5,5,4,6,5,1,2,1,2,2,1,1,1,7,1,5,2,5.166666666666667,6.4,1,6,6.141666666666667
10171,698531,non-gamified,Grupo  Team 6,Apprentice,NA,5,6,6,6,5,6,2,3,2,2,1,1,1,1,6,1,3,1,5.666666666666667,6,1.25,5.666666666666667,6.020833333333334
10172,10273971,non-gamified,Grupo Team 1,Master,NA,5,6,5,4,5,6,2,2,2,4,3,1,1,1,7,5,5,4,5.166666666666667,5.4,1,4,5.391666666666667
10174,10276852,ont-gamified,Grupo Urano,Master,Yee Achiever,6,5,4,6,4,4,3,4,4,4,3,1,1,1,6,1,6,1,4.833333333333333,4.4,1.25,6.666666666666667,5.6625000000000005
10175,10310700,ont-gamified,Grupo Hélio,Master,Yee Socializer,5,6,6,6,5,6,1,1,1,1,1,1,1,1,7,5,5,1,5.666666666666667,7,1,5,6.166666666666667
10176,10276949,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,4,5,4,3,4,5,2,2,1,5,1,3,2,2,4,2,5,5,4.166666666666667,5.8,2.75,4.666666666666667,4.970833333333333
10178,8656201,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,5,5,5,5,5,5,1,3,2,4,1,4,1,1,5,1,5,2,5,5.8,2.25,6,5.6375
10179,10310759,non-gamified,Grupo Team 9,Master,NA,4,4,3,4,4,4,4,5,5,6,4,2,2,2,6,1,6,1,3.8333333333333335,3.2,2,6.666666666666667,4.925
10181,10276866,non-gamified,Grupo Team 10,Master,NA,4,5,5,2,5,5,2,2,1,2,3,1,1,1,7,1,4,1,4.333333333333333,6,1,6,5.833333333333333
10183,10352030,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,4,4,4,3,4,5,2,2,2,3,4,3,2,3,5,2,5,2,4,5.4,2.75,5.666666666666667,5.079166666666667
10184,10276675,ont-gamified,Grupo Apolo,Master,Yee Socializer,4,5,5,4,4,5,1,4,1,5,1,3,1,1,4,1,6,1,4.5,5.6,2.25,6.666666666666667,5.629166666666666
10185,10276960,non-gamified,Grupo Team 12,Apprentice,NA,4,4,4,4,4,4,4,4,3,4,3,2,2,3,6,3,5,3,4,4.4,2.25,5,4.7875
10186,10310551,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,5,6,4,6,4,3,1,1,4,2,1,4,1,3,4,1,7,1,4.666666666666667,6.2,3,7,5.716666666666667
10187,9790781,non-gamified,Grupo Team 15,Apprentice,NA,7,7,7,7,7,7,1,4,1,1,3,5,1,1,1,1,6,1,7,6,3.5,6.666666666666667,6.041666666666667
10188,10276995,non-gamified,Grupo Team 3,Master,NA,4,4,4,4,3,4,3,3,3,3,3,1,2,1,6,2,4,4,3.8333333333333335,5,1.5,4.666666666666667,5
10189,9363926,ont-gamified,Grupo Hades,Master,Yee Socializer,4,4,3,5,6,2,2,5,2,4,1,5,4,2,5,1,6,2,4,5.2,3.5,6.333333333333333,5.008333333333333
10190,10276907,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,4,5,5,5,4,4,2,1,1,4,3,2,1,2,6,2,3,5,4.5,5.8,1.75,4,5.1375
10191,10276981,non-gamified,Grupo  Team 6,Master,NA,5,6,6,7,6,4,1,6,2,2,3,2,1,1,7,2,5,6,5.666666666666667,5.2,1.25,4.333333333333333,5.4875
10192,10276682,non-gamified,Grupo Team 5,Apprentice,NA,6,7,7,7,6,4,1,7,7,2,1,1,1,1,7,1,2,4,6.166666666666667,4.4,1,4.333333333333333,5.475
10193,10276762,ont-gamified,Grupo Afrodite,Master,Yee Achiever,6,5,5,4,5,4,3,5,5,2,3,1,1,1,6,2,3,3,4.833333333333333,4.4,1.25,4.666666666666667,5.1625000000000005
10195,10351971,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,5,6,5,5,6,5,4,4,4,4,1,1,1,1,7,1,5,2,5.333333333333333,4.6,1,6,5.733333333333333
10196,10310655,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,4,4,4,4,4,4,1,7,1,6,4,1,1,1,7,1,5,1,4,4.2,1,6.333333333333333,5.383333333333333
10197,10276661,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,4,6,4,5,6,4,1,1,2,1,1,1,1,1,7,1,6,6,4.833333333333333,6.8,1,5,5.908333333333333
10198,10310888,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,7,7,7,7,7,7,1,1,1,1,1,1,1,1,7,1,7,1,7,7,1,7,7
10199,10276737,ont-gamified,Grupo Gaia,Master,Yee Achiever,7,4,4,1,4,4,1,1,1,1,1,1,3,1,2,2,4,4,4,7,2.75,4.666666666666667,5.229166666666667
10200,9795272,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,6,6,7,7,6,6,2,4,2,2,3,1,1,1,7,4,5,2,6.333333333333333,5.4,1,5,5.933333333333334
10201,10276928,ont-gamified,Grupo Caronte,Master,Yee Achiever,7,7,7,5,7,5,2,2,3,2,2,2,3,1,6,1,7,1,6.333333333333333,5.8,2,7,6.283333333333333
10202,10277036,non-gamified,Grupo Team 11,Apprentice,NA,4,4,4,4,4,4,4,4,4,7,5,5,5,5,1,1,7,1,4,3.2,5.5,7,4.175
10203,9921470,non-gamified,Grupo Team 3,Apprentice,NA,1,7,7,1,1,7,1,1,1,1,1,2,1,1,7,2,5,5,4,7,1.25,4.666666666666667,5.604166666666667
10204,10310471,ont-gamified,Grupo Hermes,Master,Yee Achiever,7,7,7,7,7,6,1,1,4,2,1,1,1,1,7,1,6,3,6.833333333333333,6.2,1,6,6.508333333333333
10206,10310721,ont-gamified,Grupo Hera,Master,Yee Achiever,5,6,4,3,5,4,1,2,1,1,2,3,3,2,2,2,5,2,4.5,6.6,3.5,5.666666666666667,5.316666666666666
10208,10276932,non-gamified,Grupo Team 7,Apprentice,NA,6,6,7,6,7,6,1,2,4,4,1,4,1,1,7,1,7,1,6.333333333333333,5.6,1.75,7,6.295833333333333
10209,10262669,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,2,3,3,4,3,4,6,7,7,7,6,1,1,1,7,1,7,1,3.1666666666666665,1.4,1,7,4.641666666666667
10210,10277015,non-gamified,Grupo Team 9,Apprentice,NA,2,5,4,4,2,4,4,6,5,6,5,4,4,5,4,1,6,1,3.5,2.8,4.25,6.666666666666667,4.179166666666667
10211,9311643,non-gamified,Grupo Team 2,Master,NA,6,7,5,6,6,7,3,6,6,7,3,2,2,3,7,5,3,6,6.166666666666667,3,2,2.6666666666666665,4.458333333333334
10212,9065750,non-gamified,Grupo Team 4,Master,NA,7,6,6,7,7,5,2,1,3,3,1,4,2,2,6,2,6,2,6.333333333333333,6,2.5,6,5.958333333333333
10213,10277040,ont-gamified,Grupo Morfeu,Master,Yee Socializer,4,6,5,7,4,7,1,7,1,4,4,1,1,1,7,4,2,4,5.5,4.6,1,3.3333333333333335,5.108333333333333
10214,10277022,non-gamified,Grupo Team 5,Master,NA,3,4,3,1,3,4,4,5,4,4,4,1,1,2,4,4,3,3,3,3.8,2,4,4.2
10215,9285227,ont-gamified,Grupo Zeus,Master,Yee Socializer,5,7,4,4,6,4,1,1,1,1,1,1,1,1,7,3,6,1,5,7,1,6,6.25
10216,10276720,non-gamified,Grupo Team 15,Master,NA,7,7,5,1,5,4,1,4,1,1,1,1,2,1,7,1,6,2,4.833333333333333,6.4,1.25,6.333333333333333,6.079166666666667
10217,9805341,non-gamified,Grupo Team 13,Master,NA,4,5,4,2,5,3,1,1,1,2,1,1,1,1,7,1,6,4,3.8333333333333335,6.8,1,5.666666666666667,5.825
10218,9842913,ont-gamified,Grupo Ares,Master,Yee Achiever,4,3,3,2,4,4,3,3,4,2,1,4,3,2,3,2,6,1,3.3333333333333335,5.4,3.5,6.333333333333333,4.891666666666667
10219,10276831,non-gamified,Grupo Team 12,Master,NA,4,4,4,3,3,4,4,4,4,2,3,1,1,1,7,3,4,5,3.6666666666666665,4.6,1,4,4.816666666666666
10220,9760151,non-gamified,Grupo Team 2,Apprentice,NA,7,7,4,7,4,4,1,1,4,1,1,1,1,1,7,1,4,1,5.5,6.4,1,6,6.225
10221,9082496,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,5,5,4,4,5,4,1,4,4,3,1,1,1,1,7,1,6,2,4.5,5.4,1,6.333333333333333,5.808333333333334
10222,9436110,non-gamified,Grupo Team 16,Master,NA,1,1,1,1,1,1,6,7,6,7,6,3,3,4,3,2,4,4,1,1.6,3.75,4.666666666666667,2.879166666666667
10223,9795185,ont-gamified,Grupo Cronus,Master,Yee Achiever,7,6,6,6,7,6,1,2,2,2,1,2,1,1,7,3,6,3,6.333333333333333,6.4,1.25,5.333333333333333,6.204166666666667
10224,9368772,non-gamified,Grupo Team 10,Apprentice,NA,6,7,7,6,7,6,6,7,4,4,6,1,1,3,7,2,4,4,6.5,2.6,1.5,4.666666666666667,5.066666666666666
10226,10310342,non-gamified,Grupo Team 8,Master,NA,4,4,4,5,4,2,4,6,4,6,5,1,1,3,7,1,6,1,3.8333333333333335,3,1.5,6.666666666666667,5
10227,9274382,non-gamified,Grupo Team 4,Apprentice,NA,6,2,3,2,3,1,4,5,4,3,3,4,4,4,3,4,4,4,2.8333333333333335,4.2,4.25,4,3.695833333333333
10228,10310492,non-gamified,Grupo Team 14,Apprentice,NA,4,4,5,3,4,4,3,3,3,5,2,2,1,4,6,1,5,2,4,4.8,2.25,6,5.1375
10230,10351992,non-gamified,Grupo Team 14,Master,NA,1,4,1,3,6,1,1,4,1,2,5,4,1,1,1,1,5,5,2.6666666666666665,5.4,3.25,5,4.454166666666667
10231,10276911,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,7,7,7,7,7,7,1,2,1,1,1,1,1,1,7,1,5,1,7,6.8,1,6.333333333333333,6.783333333333333
10232,10276974,ont-gamified,Grupo Artemis,Master,Yee Achiever,5,4,5,7,6,6,2,4,4,2,2,2,1,2,1,1,6,3,5.5,5.2,3,6,5.425
10233,9805320,non-gamified,Grupo Team 16,Apprentice,NA,2,4,2,3,1,2,3,6,3,7,3,1,1,2,7,2,4,3,2.3333333333333335,3.6,1.25,5,4.420833333333333
10234,10310676,non-gamified,Grupo Team 7,Master,NA,5,3,2,2,6,2,4,6,5,2,4,1,2,1,7,4,4,4,3.3333333333333335,3.8,1.25,4,4.470833333333333
10237,10377688,non-gamified,Grupo Team 11,Master,NA,5,5,4,3,6,6,1,2,5,3,2,1,1,1,7,2,2,3,4.833333333333333,5.4,1,4.333333333333333,5.391666666666667
10238,10276953,non-gamified,Grupo Team 13,Apprentice,NA,4,3,4,4,4,4,5,7,5,4,4,4,4,5,4,2,5,2,3.8333333333333335,3,4.25,5.666666666666667,4.0625
10240,10276654,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,4,3,4,4,2,4,6,7,7,6,5,1,1,1,7,3,5,4,3.5,1.8,1,4.666666666666667,4.241666666666667
