UserID,P1s0,P1s1,P1s2,P1s3
10171,1,1,2,2
10172,1,1,2,2
10176,1,1,1,2
10178,1,1,1,1
10183,1,1,1,1
10184,1,2,3,4
10187,1,2,3,4
10188,1,2,3,3
10189,1,1,1,1
10192,1,1,2,2
10193,1,2,3,4
10196,1,1,2,2
10198,1,1,1,1
10200,1,1,1,1
10201,1,2,3,4
10202,1,1,1,1
10206,1,2,2,3
10210,1,1,1,1
10211,1,2,3,4
10215,1,2,2,3
10217,1,2,3,3
10218,1,2,3,4
10224,1,2,2,3
10226,1,1,2,2
10227,1,1,1,1
10237,1,2,2,3
