NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA,score
10310342,10226,non-gamified,Grupo Team 8,Master,NA,0.7,0.38,0.9,0.27,1,1.1,1,1.2,1.4,1.3,9.25
10310471,10204,ont-gamified,Grupo Hermes,Master,Yee Achiever,0.7,0.6,0.9,0.8,1,0.55,1,1,1.4,1.3,9.25
10310551,10186,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,0.7,0.6,0.9,0.8,1,1.1,1,1.2,0.93,1.3,9.53
10310655,10196,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,0.7,0.6,0.9,0.8,1,1.1,1,1.2,0.47,1.3,9.07
10310676,10234,non-gamified,Grupo Team 7,Master,NA,0.7,0.36,0.9,0.8,1,0.55,0,0.4,0.93,0,5.640000000000001
10310700,10175,ont-gamified,Grupo Hélio,Master,Yee Socializer,0.7,0.6,0.9,0.8,1,0.55,1,1.2,1.4,1.3,9.45
10310721,10206,ont-gamified,Grupo Hera,Master,Yee Achiever,0.7,0.55,0.9,0.8,0.25,0.18,1,1.2,1.4,1.3,8.28
10310759,10179,non-gamified,Grupo Team 9,Master,NA,0.7,0.6,0.9,0.8,1,1.1,1,1.2,0.47,1.3,9.07
10310888,10198,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,0.7,0.6,0.6,0.53,1,0.55,1,1.2,0.47,1.3,7.95
10351971,10195,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,0.7,0.6,0.9,0.8,0.5,0.55,1,0.4,1.4,1.3,8.15
10351992,10230,non-gamified,Grupo Team 14,Master,NA,0.56,0.6,0.6,0.48,0.5,0.55,1,1.2,0.47,1.3,7.26
10352030,10183,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,0.7,0.6,0.6,0.8,0.75,0.18,1,1,0,1.3,6.93
10377538,10169,ont-gamified,Grupo Hefesto,Master,Yee Achiever,0.56,0.6,0.6,0.8,0.5,0.18,1,0.6,0.93,1.3,7.08
10377688,10237,non-gamified,Grupo Team 11,Master,NA,0.7,0.6,0.9,0.8,0.5,1.1,1,0.4,1.4,1.3,8.700000000000001
