UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Score,theta,error,Outfit,Infit
10169,10377538,ont-gamified,Grupo Hefesto,Master,Yee Achiever,15,0.21371742061314003,0.5935320150022703,0.21607628774515242,0.1942429163269856
10170,10260351,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,15,0.21371742061314003,0.5935320150022703,0.25567943706965024,0.18759012071671485
10171,698531,non-gamified,Grupo  Team 6,Apprentice,NA,14,-0.08257998554008987,0.5470993490824599,1.8649588048119126,2.0918345707668062
10172,10273971,non-gamified,Grupo Team 1,Master,NA,9,-1.2960764081774698,0.5091759153405314,1.6562871300548754,1.6551830077790255
10174,10276852,ont-gamified,Grupo Urano,Master,Yee Achiever,17,1.115183534524214,0.8505059255475454,0.3026486420769019,0.2924887557688337
10175,10310700,ont-gamified,Grupo Hélio,Master,Yee Socializer,12,-0.5874012181606069,0.5053606658052434,3.793835134826628,3.400489752445645
10176,10276949,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,11,-0.8230168399103068,0.499304469506377,0.7964031414781437,0.8363155829125041
10178,8656201,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,15,0.21371742061314003,0.5935320150022703,0.25567943706965024,0.18759012071671485
10179,10310759,non-gamified,Grupo Team 9,Master,NA,17,1.115183534524214,0.8505059255475454,0.3026486420769019,0.2924887557688337
10181,10276866,non-gamified,Grupo Team 10,Master,NA,15,0.21371742061314003,0.5935320150022703,1.1826113343903435,1.321945435145399
10183,10352030,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,14,-0.08257998554008987,0.5470993490824599,0.10426796426532085,0.10079489732831629
10184,10276675,ont-gamified,Grupo Apolo,Master,Yee Socializer,17,1.115183534524214,0.8505059255475454,0.3026486420769019,0.2924887557688337
10185,10276960,non-gamified,Grupo Team 12,Apprentice,NA,12,-0.5874012181606069,0.5053606658052434,0.33928785413766205,0.30700763561378946
10186,10310551,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,18,2.255901222511556,1.4563341703207218,0.16404721233203354,0.19103771571300088
10187,9790781,non-gamified,Grupo Team 15,Apprentice,NA,17,1.115183534524214,0.8505059255475454,0.3026486420769019,0.2924887557688337
10188,10276995,non-gamified,Grupo Team 3,Master,NA,11,-0.8230168399103068,0.499304469506377,0.10138391874997439,0.0996882213186574
10189,9363926,ont-gamified,Grupo Hades,Master,Yee Socializer,16,0.5810457503364718,0.6767369263841688,0.15408385504813224,0.09267861381720188
10190,10276907,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,9,-1.2960764081774698,0.5091759153405314,0.4716796906525072,0.49798813027852906
10191,10276981,non-gamified,Grupo  Team 6,Master,NA,10,-1.0572723104810566,0.5005721925430772,1.6759511259327782,1.7053209645797849
10192,10276682,non-gamified,Grupo Team 5,Apprentice,NA,10,-1.0572723104810566,0.5005721925430772,1.4954325356280405,1.4577734019162047
10193,10276762,ont-gamified,Grupo Afrodite,Master,Yee Achiever,11,-0.8230168399103068,0.499304469506377,0.35566375624587127,0.36028138194806414
10195,10351971,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,15,0.21371742061314003,0.5935320150022703,0.25567943706965024,0.18759012071671485
10196,10310655,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,16,0.5810457503364718,0.6767369263841688,0.6776693867921955,0.7303921347203653
10197,10276661,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,12,-0.5874012181606069,0.5053606658052434,2.9154258738386165,3.0820427123100895
10198,10310888,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,18,2.255901222511556,1.4563341703207218,0.16404721233203354,0.19103771571300088
10199,10276737,ont-gamified,Grupo Gaia,Master,Yee Achiever,11,-0.8230168399103068,0.499304469506377,0.10138391874997439,0.0996882213186574
10200,9795272,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,12,-0.5874012181606069,0.5053606658052434,1.514522799631255,1.3429677170771366
10201,10276928,ont-gamified,Grupo Caronte,Master,Yee Achiever,18,2.255901222511556,1.4563341703207218,0.16404721233203354,0.19103771571300088
10202,10277036,non-gamified,Grupo Team 11,Apprentice,NA,18,2.255901222511556,1.4563341703207218,0.16404721233203354,0.19103771571300088
10203,9921470,non-gamified,Grupo Team 3,Apprentice,NA,11,-0.8230168399103068,0.499304469506377,0.7964031414781437,0.8363155829125041
10204,10310471,ont-gamified,Grupo Hermes,Master,Yee Achiever,15,0.21371742061314003,0.5935320150022703,0.49772634251121145,0.462331411215094
10206,10310721,ont-gamified,Grupo Hera,Master,Yee Achiever,14,-0.08257998554008987,0.5470993490824599,0.10426796426532085,0.10079489732831629
10208,10276932,non-gamified,Grupo Team 7,Apprentice,NA,18,2.255901222511556,1.4563341703207218,0.16404721233203354,0.19103771571300088
10209,10262669,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,18,2.255901222511556,1.4563341703207218,0.16404721233203354,0.19103771571300088
10210,10277015,non-gamified,Grupo Team 9,Apprentice,NA,17,1.115183534524214,0.8505059255475454,0.3026486420769019,0.2924887557688337
10211,9311643,non-gamified,Grupo Team 2,Master,NA,5,-2.5148069562299797,0.680930460813558,0.4630654863167685,0.36418400351318225
10212,9065750,non-gamified,Grupo Team 4,Master,NA,15,0.21371742061314003,0.5935320150022703,0.21607628774515242,0.1942429163269856
10213,10277040,ont-gamified,Grupo Morfeu,Master,Yee Socializer,7,-1.819750721598001,0.5554318863409756,0.5386236497594666,0.4508478105984818
10214,10277022,non-gamified,Grupo Team 5,Master,NA,9,-1.2960764081774698,0.5091759153405314,0.6170732996897234,0.6392438673643203
10215,9285227,ont-gamified,Grupo Zeus,Master,Yee Socializer,15,0.21371742061314003,0.5935320150022703,1.821218451926291,1.3352510263659405
10216,10276720,non-gamified,Grupo Team 15,Master,NA,16,0.5810457503364718,0.6767369263841688,0.15408385504813224,0.09267861381720188
10217,9805341,non-gamified,Grupo Team 13,Master,NA,14,-0.08257998554008987,0.5470993490824599,1.0766822487272034,1.1024093599075577
10218,9842913,ont-gamified,Grupo Ares,Master,Yee Achiever,16,0.5810457503364718,0.6767369263841688,0.6324106579574517,0.5067309492817046
10219,10276831,non-gamified,Grupo Team 12,Master,NA,9,-1.2960764081774698,0.5091759153405314,0.27502904693753405,0.2634929440222004
10220,9760151,non-gamified,Grupo Team 2,Apprentice,NA,15,0.21371742061314003,0.5935320150022703,1.1826113343903435,1.321945435145399
10221,9082496,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,16,0.5810457503364718,0.6767369263841688,0.15408385504813224,0.09267861381720188
10222,9436110,non-gamified,Grupo Team 16,Master,NA,11,-0.8230168399103068,0.499304469506377,0.10138391874997439,0.0996882213186574
10223,9795185,ont-gamified,Grupo Cronus,Master,Yee Achiever,13,-0.3438476999613154,0.5201480596964132,0.8449104897473587,0.7934159892172581
10224,9368772,non-gamified,Grupo Team 10,Apprentice,NA,11,-0.8230168399103068,0.499304469506377,0.10138391874997439,0.0996882213186574
10226,10310342,non-gamified,Grupo Team 8,Master,NA,17,1.115183534524214,0.8505059255475454,0.3026486420769019,0.2924887557688337
10227,9274382,non-gamified,Grupo Team 4,Apprentice,NA,9,-1.2960764081774698,0.5091759153405314,0.32603452115043813,0.334120812565096
10228,10310492,non-gamified,Grupo Team 14,Apprentice,NA,15,0.21371742061314003,0.5935320150022703,0.25567943706965024,0.18759012071671485
10230,10351992,non-gamified,Grupo Team 14,Master,NA,12,-0.5874012181606069,0.5053606658052434,1.301050132255818,1.2997733344025808
10231,10276911,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,16,0.5810457503364718,0.6767369263841688,0.6776693867921955,0.7303921347203653
10232,10276974,ont-gamified,Grupo Artemis,Master,Yee Achiever,15,0.21371742061314003,0.5935320150022703,0.49772634251121145,0.462331411215094
10233,9805320,non-gamified,Grupo Team 16,Apprentice,NA,12,-0.5874012181606069,0.5053606658052434,0.041639701490876334,0.04268306100583796
10234,10310676,non-gamified,Grupo Team 7,Master,NA,9,-1.2960764081774698,0.5091759153405314,0.32603452115043813,0.334120812565096
10237,10377688,non-gamified,Grupo Team 11,Master,NA,10,-1.0572723104810566,0.5005721925430772,1.0591034121893628,1.028553257180027
10238,10276953,non-gamified,Grupo Team 13,Apprentice,NA,14,-0.08257998554008987,0.5470993490824599,0.10426796426532085,0.10079489732831629
10240,10276654,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,11,-0.8230168399103068,0.499304469506377,0.39089876838695,0.39084120583887183
