UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Score,theta,error,Outfit,Infit
10169,10377538,ont-gamified,Grupo Hefesto,Master,Yee Achiever,28,0.773547756634461,0.4008217810477091,0.40466016465617954,0.43345505435225806
10170,10260351,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,25,0.3390917056505436,0.3878228388213291,0.3390703360663149,0.33854892179671137
10171,698531,non-gamified,Grupo  Team 6,Apprentice,NA,28,0.773547756634461,0.4008217810477091,0.31667293034999106,0.3251133618997361
10172,10273971,non-gamified,Grupo Team 1,Master,NA,25,0.3390917056505436,0.3878228388213291,0.3357810620734301,0.3326284304746408
10174,10276852,ont-gamified,Grupo Urano,Master,Yee Achiever,23,0.04532479257032092,0.3929052361424688,0.810082184108487,0.7985341459036154
10175,10310700,ont-gamified,Grupo Hélio,Master,Yee Socializer,28,0.773547756634461,0.4008217810477091,0.31667293034999106,0.3251133618997361
10176,10276949,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,19,-0.621765728385078,0.3985816672058931,0.3398748510506358,0.35434009128806243
10178,8656201,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,24,0.19438092697207515,0.3893617452523109,0.05833466952858692,0.05789305457241633
10179,10310759,non-gamified,Grupo Team 9,Master,NA,17,-0.9440135863889301,0.376424752201275,0.1549219802593419,0.16224199919884058
10181,10276866,non-gamified,Grupo Team 10,Master,NA,20,-0.44706097603103007,0.40273860318724486,0.9841415571418661,0.9923661517770259
10183,10352030,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,18,-0.7897528725203661,0.38899542920867985,0.3156023231686739,0.34005702950287525
10184,10276675,ont-gamified,Grupo Apolo,Master,Yee Socializer,21,-0.2748557234267931,0.4016092009113945,0.2565754059114897,0.2530923094516908
10185,10276960,non-gamified,Grupo Team 12,Apprentice,NA,18,-0.7897528725203661,0.38899542920867985,0.05411445113912886,0.054597996329373705
10186,10310551,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,22,-0.11051255328776673,0.3975233554041584,1.0433531055407088,1.0185626072544434
10187,9790781,non-gamified,Grupo Team 15,Apprentice,NA,36,3.747350324486025,1.4346461813873421,0.08266898807414305,0.08640374349914627
10188,10276995,non-gamified,Grupo Team 3,Master,NA,17,-0.9440135863889301,0.376424752201275,0.2052080993487646,0.20487093610334361
