UserID,Type,CLGroup,CLRole,PlayerRole,Score,theta,error,Outfit,Infit
10116,non-gamified,GroupC,Master,NA,49,-0.439476389364647,0.15366457579850235,0.5693846457375564,0.5574026268815766
10120,ont-gamified,Grupo Hélio,Master,Yee Socializer,94,1.2745279552051365,0.24003088264293349,0.5950198285052442,0.5660114431542983
10121,ont-gamified,Grupo Hades,Master,Yee Achiever,68,0.1305263460961173,0.16122237591847818,0.6607484173805797,0.6942011614597967
10122,non-gamified,GroupB,Apprentice,NA,59,-0.1282950901800076,0.15503920813270053,1.8334423773986543,1.8673255438870278
10123,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,53,-0.30830661448081836,0.15356762018425818,0.4970629454998669,0.49508695669949654
10126,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,83,0.703122893490451,0.18769653366697006,0.9174669026238134,0.8032686529718088
10127,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,73,0.3892585072528961,0.16720533787663466,1.085327097906676,1.0422105262785284
10128,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,44,-1.3522310909891848,0.15502782628823442,2.3636232655611105,2.4053227664931898
10129,non-gamified,GroupB,Apprentice,NA,33,-1.3842690895299066,0.16385412579477313,0.8171669926808329,0.8503454108595402
10130,non-gamified,GroupC,Apprentice,NA,60,-0.11778394501291259,0.15547855059779886,0.8699650455659835,0.8170803476498599
10131,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,75,0.6825024983778668,0.17025197713583673,1.9856765968655974,2.1198662525377903
10132,non-gamified,GroupA,Apprentice,NA,46,-0.8245270209165899,0.15431098308538077,1.1484441623804633,1.1441306980469776
10134,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,38,-0.739050752349173,0.15869959343192452,0.28067761817687553,0.2975568372459693
10135,non-gamified,GroupB,Apprentice,NA,65,0.03228391342182639,0.15857509027900338,1.0891917988635231,1.0516765725008628
10136,non-gamified,GroupC,Apprentice,NA,25,-1.7071097672584434,0.1779777770608099,0.9581018813812872,0.9969371548115367
10137,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,94,1.540421990890091,0.24003088264293349,0.8535739954411752,0.7980589962676086
10138,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,66,0.42485437939802,0.1593869936169926,0.7897827572833263,0.7562886075926886
10139,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,62,-0.05136590774274105,0.1565324755743863,1.1627074528037071,1.1752991911390125
10140,non-gamified,GroupC,Apprentice,NA,40,-0.7732129403022359,0.1572036975066956,0.5136633267964945,0.4897160776737341
10141,ont-gamified,Grupo Apolo,Master,Yee Socializer,57,-0.19461194636708318,0.15432992145876492,0.48368652504612086,0.4704031464790062
10142,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,69,0.24748668733769036,0.16225194913114535,0.7976155288419444,0.7913458231612025
10143,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,70,0.24078051736168582,0.1633607769862248,0.12485740899981021,0.12676056765086943
10145,non-gamified,GroupB,Master,NA,51,-0.016003757563636922,0.15350853842229242,0.8642941356427333,0.8512137023231439
10146,non-gamified,GroupA,Apprentice,NA,78,0.5685005755749125,0.17568200993252112,0.38429127038811917,0.3555475876284951
10148,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,69,0.20490388741018778,0.16225194913114535,1.00993736954309,0.9037980775342408
10149,non-gamified,GroupA,Apprentice,NA,36,-1.2427405122063682,0.16050122922952648,1.8295536480184564,1.8036543931505307
10152,ont-gamified,Grupo Morfeu,Master,Yee Achiever,85,1.3837694218399965,0.1938876286147995,2.2414966886487893,1.9874210069672409
10153,non-gamified,GroupA,Apprentice,NA,66,0.10406814033682392,0.1593869936169926,0.6752442561693953,0.6821474575684293
10154,non-gamified,GroupC,Apprentice,NA,35,-0.8253105909166665,0.16152703743036287,0.4894195824875539,0.4990911328611881
10158,non-gamified,GroupD,Apprentice,NA,97,2.0340003185247024,0.2685701755079949,1.1119956031916403,1.2204032264120004
