UserID,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
10116,3.0,7.0,4.0,4.0,2.0,6.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,6.0
10119,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
10120,7.0,3.0,7.0,7.0,6.0,2.0,1.0,1.0,6.0,4.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,6.0,6.0,5.0
10121,1.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,6.0,5.0,3.0,6.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0
10122,2.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10123,2.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0
10126,5.0,2.0,5.0,7.0,6.0,2.0,5.0,1.0,6.0,6.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,5.0,5.0,4.0
10127,4.0,2.0,5.0,7.0,6.0,3.0,5.0,4.0,6.0,3.0,5.0,6.0,6.0,2.0,3.0,4.0,4.0,2.0,4.0,1.0,6.0,7.0,4.0,6.0
10128,1.0,4.0,1.0,1.0,7.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0
