UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Score,theta,error,Outfit,Infit
10169,10377538,non-gamified,Grupo Team 10,Apprentice,NA,15,-1.4076111348709486,0.2598613196955621,0.45251141137706036,0.527575104869447
10170,10260351,non-gamified,Grupo Team 6,Apprentice,NA,44,0.2258110657694359,0.24810034200801565,0.6413592581691421,0.640383414043708
10171,698531,ont-gamified,Grupo Losvakai,Master,Yee Achiever,53,0.8020796933695865,0.2617997969117831,0.3625288023358908,0.34379311353854747
10172,10273971,ont-gamified,Grupo Koil,Master,Yee Achiever,45,0.2877513794342994,0.24925012314124978,1.0428256327813745,1.0560731108128798
10174,10276852,non-gamified,Grupo Team 1,Apprentice,NA,29,-0.6279647764363516,0.23147976429453265,1.1093837963948645,1.1185441216214123
10175,10310700,non-gamified,Grupo Team 6,Master,NA,60,1.3188222249958153,0.29409253734124186,1.0862979136873483,1.1385598537058395
10176,10276949,non-gamified,Grupo Team 9,Apprentice,NA,25,-0.8377801058122276,0.23216447499209536,0.26967462637315365,0.269411481694648
10178,8656201,non-gamified,Grupo Team 11,Apprentice,NA,47,0.4130015869297556,0.2515874791420268,0.22746425712601506,0.22611265329179567
10179,10310759,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,42,0.10344207127600223,0.24572025153762558,0.28909251639899386,0.28430223912441427
10181,10276866,non-gamified,Grupo Team 7,Apprentice,NA,36,-0.24827805412393553,0.23781608693243722,1.0596610644520552,1.0735600281285447
10183,10352030,non-gamified,Grupo Belos,Apprentice,Yee Socializer,29,-0.6279647764363516,0.23147976429453265,0.6272596882649185,0.6261852617599872
10184,10276675,non-gamified,Grupo Team 7,Master,NA,54,0.8699716534529528,0.2645132807109603,0.43703806836688713,0.4489424307862977
10185,10276960,ont-gamified,Grupo Tosskor,Master,Yee Achiever,38,-0.1339123095696113,0.2404872156389255,0.2612024453081518,0.2652490149638471
10186,10310551,non-gamified,Grupo Team 5,Apprentice,NA,41,0.04310669682721945,0.24446676111757526,2.33847263654069,2.3470901726562703
10187,9790781,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,37,-0.1914696276465278,0.2391384658633655,1.133733644531825,1.1021569525399852
10188,10276995,ont-gamified,Grupo Paldira,Master,Yee Achiever,41,0.04310669682721945,0.24446676111757526,0.42686074072074026,0.4241417063180302
10189,9363926,non-gamified,Grupo Team 2,Apprentice,NA,8,-1.9847767705286365,0.33474631612409567,1.6546351669272443,2.148965881389838
10190,10276907,non-gamified,Grupo Team 8,Apprentice,NA,31,-0.5220699620427414,0.23252231782801705,2.802686269607502,2.766545895492979
10191,10276981,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,59,1.2368829221871842,0.2869560846786212,0.8578287997443637,0.7302924954196142
10192,10276682,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,64,1.7024307050368934,0.3396914342152359,4.317407751104617,3.504693012036374
10193,10276762,non-gamified,Grupo Team 2,Master,NA,29,-0.6279647764363516,0.23147976429453265,0.7308585811762368,0.7195012575972706
10196,10310655,non-gamified,Grupo Team 5,Apprentice,NA,32,-0.4685040672807266,0.23331987957799816,0.9193852232134008,0.9119020522387148
10197,10276661,non-gamified,Grupo Team 11,Master,NA,43,0.16436034600850633,0.24692899805657775,1.3339939193033163,1.3380437633214446
10198,10310888,non-gamified,Grupo Team 1,Apprentice,NA,69,2.515588332477268,0.511299376493948,1.7640840627514358,2.084915516187245
10200,9795272,non-gamified,Grupo Team 4,Apprentice,NA,44,0.2258110657694359,0.24810034200801565,0.47040087292880295,0.4595288098837372
10201,10276928,non-gamified,Grupo Team 10,Master,NA,51,0.6695177391413124,0.25747469976626736,0.2890212685057835,0.29309300527589804
