UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,theta,error,WLE.rel
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,NA,-2.4937842656042557,1.394928616956282,0.7777624288006662
10171.0,698531.0,ont-gamified,Mafia,Master,Social Achiever,-0.9762084605557264,0.6072358659756235,0.7777624288006662
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,NA,1.6669516748523105,0.5509709754606995,0.7777624288006662
10174.0,10276852.0,w/o-gamified,Grupo7,Master,NA,1.6669516748523105,0.5509709754606995,0.7777624288006662
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever,-2.4937842656042557,1.394928616956282,0.7777624288006662
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever,1.9430884188487876,0.5407204088881639,0.7777624288006662
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,NA,0.1303798220550883,0.4818013963235593,0.7777624288006662
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,NA,0.9674484086037893,0.56701112257585,0.7777624288006662
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,NA,0.3522617892936317,0.5025459765719338,0.7777624288006662
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,NA,0.9674484086037893,0.56701112257585,0.7777624288006662
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever,0.9674484086037893,0.56701112257585,0.7777624288006662
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever,-2.4937842656042557,1.394928616956282,0.7777624288006662
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever,-1.4083210220534015,0.7702162802320313,0.7777624288006662
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,NA,2.4658347657674686,0.5686188018555391,0.7777624288006662
10191.0,10276981.0,w/o-gamified,Grupo1,Master,NA,-2.4937842656042557,1.394928616956282,0.7777624288006662
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,0.6210028564575171,0.5351741633813399,0.7777624288006662
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,-1.4083210220534015,0.7702162802320313,0.7777624288006662
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,NA,0.3522617892936317,0.5025459765719338,0.7777624288006662
10198.0,10310888.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,0.6210028564575171,0.5351741633813399,0.7777624288006662
10199.0,10276737.0,w/o-gamified,Grupo1,Apprentice,NA,-0.06968823328689082,0.47346092553827324,0.7777624288006662
10200.0,9795272.0,ont-gamified,Warriors,Apprentice,Social Achiever,1.3451528195767086,0.5678357759241417,0.7777624288006662
10201.0,10276928.0,w/o-gamified,Grupo11,Apprentice,NA,-0.06968823328689082,0.47346092553827324,0.7777624288006662
10202.0,10277036.0,ont-gamified,Silly Knights,Apprentice,Social Achiever,-0.06968823328689082,0.47346092553827324,0.7777624288006662
10203.0,9921470.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,-0.2638707760947638,0.4774228849796514,0.7777624288006662
10204.0,10310471.0,w/o-gamified,Grupo6,Apprentice,NA,3.9139198914131517,1.1669142195735698,0.7777624288006662
10206.0,10310721.0,w/o-gamified,Grupo8,Apprentice,NA,-0.2638707760947638,0.4774228849796514,0.7777624288006662
10208.0,10276932.0,ont-gamified,Mercenaries,Master,Social Achiever,-0.6924518127930664,0.533553173441452,0.7777624288006662
10210.0,10277015.0,w/o-gamified,Grupo6,Apprentice,NA,3.9139198914131517,1.1669142195735698,0.7777624288006662
10213.0,10277040.0,w/o-gamified,Grupo7,Apprentice,NA,1.6669516748523105,0.5509709754606995,0.7777624288006662
10214.0,10277022.0,ont-gamified,Vikings,Apprentice,Social Achiever,0.1303798220550883,0.4818013963235593,0.7777624288006662
10215.0,9285227.0,ont-gamified,Vikings,Master,Social Achiever,-2.4937842656042557,1.394928616956282,0.7777624288006662
10216.0,10276720.0,ont-gamified,Silly Knights,Master,Social Achiever,-2.4937842656042557,1.394928616956282,0.7777624288006662
10217.0,9805341.0,w/o-gamified,Grupo9,Apprentice,NA,-2.4937842656042557,1.394928616956282,0.7777624288006662
10218.0,9842913.0,w/o-gamified,Grupo10,Apprentice,NA,0.9674484086037893,0.56701112257585,0.7777624288006662
10219.0,10276831.0,w/o-gamified,Grupo3,Master,NA,-2.4937842656042557,1.394928616956282,0.7777624288006662
10220.0,9760151.0,w/o-gamified,Grupo3,Apprentice,NA,-2.4937842656042557,1.394928616956282,0.7777624288006662
10221.0,9082496.0,ont-gamified,Warriors,Apprentice,Social Achiever,0.6210028564575171,0.5351741633813399,0.7777624288006662
10223.0,9795185.0,ont-gamified,Slayers,Master,Social Achiever,0.1303798220550883,0.4818013963235593,0.7777624288006662
10224.0,9368772.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,1.3451528195767086,0.5678357759241417,0.7777624288006662
10226.0,10310342.0,w/o-gamified,Grupo4,Apprentice,NA,3.9139198914131517,1.1669142195735698,0.7777624288006662
10227.0,9274382.0,w/o-gamified,Grupo5,Master,NA,0.6210028564575171,0.5351741633813399,0.7777624288006662
10228.0,10310492.0,ont-gamified,Resistance,Apprentice,Social Achiever,-0.4657305289779114,0.4955271178578423,0.7777624288006662
10230.0,10351992.0,ont-gamified,Resistance,Master,Social Achiever,1.6669516748523105,0.5509709754606995,0.7777624288006662
10231.0,10276911.0,w/o-gamified,Grupo9,Master,NA,-2.4937842656042557,1.394928616956282,0.7777624288006662
10232.0,10276974.0,w/o-gamified,Grupo7,Apprentice,NA,-0.6924518127930664,0.533553173441452,0.7777624288006662
10234.0,10310676.0,w/o-gamified,Grupo4,Master,NA,-0.2638707760947638,0.4774228849796514,0.7777624288006662
