UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item22IE,Item09IE,Item12IE,Item24IE,Item21IE,Item01IE,Item17PC,Item15PC,Item06PC,Item02PC,Item08PC,Item16PT,Item14PT,Item18PT,Item11PT,Item13EI,Item03EI,Item07EI,Interest/Enjoyment,Perceived Choice,Pressure/Tension,Effort/Importance,Intrinsic Motivation
10214,10277022,ont-gamified,Vikings,Apprentice,Social Achiever,1,1,1,1,2,1,2,6,7,6,6,1,5,4,2,1,7,1,1.1666666666666667,2.6,4,7,3.6916666666666664
10215,9285227,ont-gamified,Vikings,Master,Social Achiever,5,4,5,2,5,3,1,5,4,2,1,1,1,1,1,1,2,4,4,5.4,2.5,4.333333333333333,4.808333333333334
10216,10276720,ont-gamified,Silly Knights,Master,Social Achiever,5,4,5,3,4,7,2,3,1,2,3,1,1,1,7,1,4,2,4.666666666666667,5.8,1,5.666666666666667,5.783333333333333
10217,9805341,w/o-gamified,Grupo9,Apprentice,NA,5,5,4,3,5,4,5,4,4,4,2,1,1,1,7,3,3,4,4.333333333333333,4.2,1,4,4.883333333333333
10218,9842913,w/o-gamified,Grupo10,Apprentice,NA,4,4,4,4,4,4,5,4,5,4,4,5,4,4,5,4,4,4,4,3.6,4,4,3.9000000000000004
10219,10276831,w/o-gamified,Grupo3,Master,NA,2,1,2,1,1,4,6,7,4,1,6,1,1,1,7,5,2,6,1.8333333333333333,3.2,1,2.3333333333333335,3.591666666666667
10220,9760151,w/o-gamified,Grupo3,Apprentice,NA,1,4,4,1,4,1,1,1,4,1,1,1,1,1,7,1,4,1,2.5,6.4,1,6,5.475
10221,9082496,ont-gamified,Warriors,Apprentice,Social Achiever,3,3,3,2,3,2,4,4,5,6,6,2,4,5,6,2,5,3,2.6666666666666665,3,3.25,5.333333333333333,3.9375
10223,9795185,ont-gamified,Slayers,Master,Social Achiever,5,5,5,4,6,5,4,4,3,4,4,4,4,2,4,4,5,4,5,4.2,3.5,4.333333333333333,4.508333333333333
10224,9368772,ont-gamified,Mercenaries,Apprentice,Social Achiever,4,4,4,4,4,4,5,5,4,4,4,5,4,5,3,4,5,5,4,3.6,4.75,4,3.7125000000000004
10226,10310342,w/o-gamified,Grupo4,Apprentice,NA,1,1,1,1,4,1,6,7,7,7,6,5,5,5,1,5,2,6,1.5,1.4,5.5,2.3333333333333335,1.9333333333333336
10227,9274382,w/o-gamified,Grupo5,Master,NA,4,3,5,3,6,5,4,4,3,3,3,4,5,3,5,5,4,3,4.333333333333333,4.6,3.75,4,4.295833333333333
10228,10310492,ont-gamified,Resistance,Apprentice,Social Achiever,1,1,2,1,2,1,2,2,1,1,2,3,2,2,1,2,2,1,1.3333333333333333,6.4,3.5,5,4.308333333333334
10230,10351992,ont-gamified,Resistance,Master,Social Achiever,4,5,5,4,5,4,4,5,3,3,5,4,5,5,6,3,3,2,4.5,4,4,4.666666666666667,4.291666666666667
10231,10276911,w/o-gamified,Grupo9,Master,NA,4,4,5,4,4,6,1,1,2,2,2,1,1,1,7,3,2,4,4.5,6.4,1,3.6666666666666665,5.391666666666667
10232,10276974,w/o-gamified,Grupo7,Apprentice,NA,4,4,5,5,5,4,3,3,4,3,4,2,2,2,3,1,5,1,4.5,4.6,2.75,6.333333333333333,5.170833333333333
10234,10310676,w/o-gamified,Grupo4,Master,NA,2,2,2,1,2,1,6,6,6,7,6,2,4,2,7,5,2,6,1.6666666666666667,1.8,2.25,2.3333333333333335,2.8875
10237,10377688,ont-gamified,Outlaws,Apprentice,Social Achiever,3,5,6,3,3,4,3,6,3,3,4,5,5,4,3,2,4,4,4,4.2,4.75,4.666666666666667,4.029166666666667
10238,10276953,w/o-gamified,Grupo2,Master,NA,4,4,4,4,4,3,5,7,5,5,4,5,5,5,3,1,5,2,3.8333333333333335,2.8,5,6,3.908333333333333
