UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,PersonScores.IE,theta.IE,error.IE,PersonScores.PC,theta.PC,error.PC,PersonScores.PT,theta.PT,error.PT,PersonScores.EI,theta.EI,error.EI,PersonScores,theta,error
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,NA,21.0,0.7428250324180989,0.5201119689447299,11.0,-1.2944745008927219,0.4207776277717966,3.0,-2.493784265604379,1.3949286169562773,14.0,-0.26763597711504067,0.49216813129821485,10.75,0.4186247050036789,0.009532277764616001
10171.0,698531.0,ont-gamified,Mafia,Master,Social Achiever,29.0,2.7672373265395236,0.5640387623187032,9.0,-1.6667375177647044,0.4789130013465248,5.0,-0.9762084605558625,0.6072358659756257,21.0,2.1498831483008973,1.159636711289675,13.5,1.0566478544078948,0.39883815224481933
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,NA,26.0,1.9906110408136524,0.5008514596790399,26.0,0.9917230249560137,0.38528148494152953,15.0,1.6669516748524082,0.550970975460747,10.0,-1.2168859420624356,0.4732394177749282,11.75,0.02462411221370553,0.20210034673368765
10174.0,10276852.0,w/o-gamified,Grupo7,Master,NA,23.0,1.2745831746021097,0.5041606383649199,19.0,-0.10795413965021611,0.3967629819994902,15.0,1.6669516748524082,0.550970975460747,13.0,-0.5106770625218319,0.49047480963848356,10.0,-0.2527499256055866,0.21010686363553666
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever,20.0,0.45486221361641016,0.521441827263476,7.0,-2.220904707589202,0.6204575948889449,3.0,-2.493784265604379,1.3949286169562773,18.0,0.7055839082132354,0.5573676256279719,10.5,0.3583314199612057,0.0760846077060289
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever,19.0,0.1679123456784202,0.5129374642281377,23.0,0.5493794184319418,0.3943911265072685,16.0,1.943088418848948,0.5407204088882066,11.0,-0.9930523504314572,0.479569423300283,9.25,-0.5547122512925108,0.21154440128687063
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,NA,12.0,-1.3163675753278903,0.4447506736022946,19.0,-0.10795413965021611,0.3967629819994902,10.0,0.1303798220549705,0.4818013963235708,6.0,-2.048381413130973,0.5029840938829641,6.75,-0.9007707375410126,0.21567408829029452
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,NA,14.0,-0.950851107942686,0.44369855541753217,18.0,-0.2652384581228264,0.3925512932635576,13.0,0.9674484086037614,0.5670111225758985,11.0,-0.9930523504314572,0.479569423300283,7.5,-0.7941475812751827,0.1872020373513686
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,NA,19.0,0.1679123456784202,0.5129374642281377,20.0,0.05565248575637723,0.3998510536634977,11.0,0.35226178929352386,0.5025459765719519,11.0,-0.9930523504314572,0.479569423300283,9.75,-0.28043732707254593,0.22245299115499162
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,NA,24.0,1.518644033440784,0.4982490578835026,23.0,0.5493794184319418,0.3943911265072685,13.0,0.9674484086037614,0.5670111225758985,13.0,-0.5106770625218319,0.49047480963848356,11.75,0.1474744951867832,0.20402596786333904
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever,17.0,-0.34237304572175137,0.4787017563933511,17.0,-0.4158421251696621,0.3886486313437628,13.0,0.9674484086037614,0.5670111225758985,21.0,2.1498831483008973,1.159636711289675,10.5,0.1060548922014306,0.3649939941127226
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever,17.0,-0.34237304572175137,0.4787017563933511,9.0,-1.6667375177647044,0.4789130013465248,3.0,-2.493784265604379,1.3949286169562773,15.0,-0.032357424661106256,0.4953861820458861,9.5,0.11307906936420425,0.014518080707371164
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever,11.0,-1.5029079949426418,0.45416766163994227,23.0,0.5493794184319418,0.3943911265072685,4.0,-1.4083210220535367,0.770216280232032,17.0,0.44272013536684374,0.5233281842144757,11.75,0.2243781452274201,0.1504176730324136
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,NA,16.0,-0.5607739336003864,0.4627625825645359,26.0,0.9917230249560137,0.38528148494152953,18.0,2.465834765767716,0.5686188018555809,12.0,-0.7563836941438452,0.486297508018622,9.0,-0.6978173421389835,0.19143069341727664
10191.0,10276981.0,w/o-gamified,Grupo1,Master,NA,11.0,-1.5029079949426418,0.45416766163994227,24.0,0.7028757758428321,0.3899768073713435,3.0,-2.493784265604379,1.3949286169562773,14.0,-0.26763597711504067,0.49216813129821485,11.5,0.3565290173473822,-0.01465400416169417
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,18.0,-0.10032552078756714,0.4968152146482996,16.0,-0.5610745902214668,0.38617434471674084,12.0,0.6210028564574258,0.5351741633813673,17.0,0.44272013536684374,0.5233281842144757,9.75,-0.20992070802490398,0.21778589504953721
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,7.0,-2.4746913210133528,0.6209806794261473,5.0,-3.782180758341251,1.3873651801937947,4.0,-1.4083210220535367,0.770216280232032,14.0,-0.26763597711504067,0.49216813129821485,5.5,-1.279046758604027,0.43257442767153126
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,NA,16.0,-0.5607739336003864,0.4627625825645359,15.0,-0.7030547208192675,0.385919431895589,11.0,0.35226178929352386,0.5025459765719519,14.0,-0.26763597711504067,0.49216813129821485,8.5,-0.47093160520705457,0.209576042296597
