UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,PersonScores.A,theta.A,error.A,PersonScores.S,theta.S,error.S,PersonScores,theta,error
10169.0,10377538.0,ont-gamified,Resistance,Apprentice,Social Achiever,35.0,5.618788060280916,1.501226147628899,21.0,3.8693448360611953,1.4776982224758495,28.0,4.744066448171056,1.4894621850523744
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,NA,28.0,2.271211835650997,0.4983475463267364,13.0,0.11234050141080673,0.6113269932223514,20.5,1.1917761685309018,0.5548372697745438
10171.0,698531.0,ont-gamified,Mafia,Master,Social Achiever,28.0,2.271211835650997,0.4983475463267364,16.0,1.101214128080647,0.5758179855208833,22.0,1.6862129818658218,0.5370827659238098
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,NA,27.0,2.0403929405229424,0.491004217532262,15.0,0.7990716787907831,0.5762591467418597,21.0,1.4197323096568628,0.5336316821370608
10174.0,10276852.0,w/o-gamified,Grupo7,Master,NA,23.0,1.0815540259252765,0.5166727406450182,15.0,0.7990716787907831,0.5762591467418597,19.0,0.9403128523580297,0.5464659436934389
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever,27.0,2.0403929405229424,0.491004217532262,17.0,1.4068555488617096,0.5921424517791369,22.0,1.723624244692326,0.5415733346556995
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever,23.0,1.0815540259252765,0.5166727406450182,12.0,-0.3083502803245247,0.6213236161448467,17.5,0.3866018728003759,0.5689981783949325
10179.0,10310759.0,w/o-gamified,Grupo10,Master,NA,18.0,-0.30322746603949885,0.46103443890916557,12.0,-0.3083502803245247,0.6213236161448467,15.0,-0.30578887318201176,0.5411790275270061
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,NA,21.0,0.486878813965122,0.5284041765785104,5.0,-2.5689649132744554,0.6653340940395586,13.0,-1.0410430496546668,0.5968691353090345
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,NA,11.0,-1.52671815127347,0.4539215423330032,8.0,-1.6547102635466344,0.551962085449813,9.5,-1.5907142074100522,0.5029418138914081
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,NA,18.0,-0.30322746603949885,0.46103443890916557,14.0,0.4778716960601785,0.5901151141384134,16.0,0.08732211501033982,0.5255747765237895
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,NA,18.0,-0.30322746603949885,0.46103443890916557,14.0,0.4778716960601785,0.5901151141384134,16.0,0.08732211501033982,0.5255747765237895
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever,14.0,-1.0096041458520815,0.42130505773716825,19.0,2.144503902410623,0.71017650646197,16.5,0.5674498782792707,0.5657407820995691
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever,17.0,-0.49952127718079026,0.4422722866549441,9.0,-1.3776916669075348,0.5568137960215483,13.0,-0.9386064720441625,0.49954304133824623
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever,8.0,-2.267241437303188,0.5881288710567265,8.0,-1.6547102635466344,0.551962085449813,8.0,-1.9609758504249113,0.5700454782532698
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,NA,24.0,1.3412340079221086,0.5038553678007928,11.0,-0.7241317322845698,0.6029882734123958,17.5,0.30855113781876936,0.5534218206065943
10191.0,10276981.0,w/o-gamified,Grupo1,Master,NA,17.0,-0.49952127718079026,0.4422722866549441,13.0,0.11234050141080673,0.6113269932223514,15.0,-0.19359038788499178,0.5267996399386478
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,25.0,1.5823203160182933,0.494363925480242,20.0,2.7125574793010965,0.8800907293400565,22.5,2.1474388976596948,0.6872273274101492
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,7.0,-2.669448226743977,0.6928373446236298,4.0,-3.0516504639456676,0.817776817710963,5.5,-2.8605493453448223,0.7553070811672964
