UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReB,UnB,ApC,ApA,AnC1,AnC2,EvB
10169.0,10377538.0,ont-gamified,Resistance,Apprentice,Social Achiever,1.0,0.8333333333333334,0.4444444444444444,1.0,0.42857142857142855,0.0,0.4444444444444444
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,NA,0.6964285714285714,0.6538461538461539,0.4444444444444444,0.0,0.5,0.0,0.0
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,NA,0.03571428571428571,1.0,0.5,0.0,0.42857142857142855,0.0,0.0
10174.0,10276852.0,w/o-gamified,Grupo7,Master,NA,0.6785714285714286,0.6538461538461539,0.0,0.0,0.0,0.8571428571428571,0.0
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever,1.0,1.0,1.0,1.0,1.0,0.0,1.0
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever,0.21428571428571427,0.6666666666666666,0.4444444444444444,0.42857142857142855,1.0,0.0,0.0
10178.0,8656201.0,ont-gamified,Outlaws,Apprentice,Social Achiever,0.8571428571428571,0.3076923076923077,0.0,0.0,0.9285714285714286,0.35714285714285715,0.3888888888888889
10179.0,10310759.0,w/o-gamified,Grupo10,Master,NA,0.8571428571428571,0.6666666666666666,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,NA,1.0,0.8333333333333334,0.0,1.0,0.5,0.0,0.0
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,NA,0.6785714285714286,0.8333333333333334,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,NA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,NA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever,0.6785714285714286,0.8076923076923077,0.3333333333333333,0.8571428571428571,0.0,0.42857142857142855,0.4444444444444444
10187.0,9790781.0,ont-gamified,Mafia,Apprentice,Social Achiever,1.0,0.3076923076923077,0.0,0.0,0.35714285714285715,0.35714285714285715,0.0
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever,1.0,0.8333333333333334,1.0,1.0,0.0,0.42857142857142855,1.0
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever,0.35714285714285715,0.9871794871794872,0.0,0.0,0.0,0.0,1.0
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,NA,0.03571428571428571,0.6666666666666666,0.0,0.42857142857142855,0.0,0.5,0.0
10191.0,10276981.0,w/o-gamified,Grupo1,Master,NA,0.6785714285714286,0.9871794871794872,0.0,0.0,0.0,0.42857142857142855,0.4444444444444444
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,0.8392857142857143,1.0,1.0,1.0,0.0,0.42857142857142855,1.0
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,0.23214285714285715,0.8333333333333334,0.0,1.0,0.0,0.8571428571428571,0.5
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,NA,0.35714285714285715,1.0,1.0,0.0,0.0,0.0,0.4444444444444444
10198.0,10310888.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,0.8392857142857143,0.8205128205128205,0.4444444444444444,1.0,0.5,0.42857142857142855,0.0
10200.0,9795272.0,ont-gamified,Warriors,Apprentice,Social Achiever,0.8392857142857143,1.0,0.4444444444444444,0.0,0.0,0.42857142857142855,0.0
10201.0,10276928.0,w/o-gamified,Grupo11,Apprentice,NA,0.6607142857142857,0.8333333333333334,0.4444444444444444,0.0,1.0,0.0,0.0
10202.0,10277036.0,ont-gamified,Silly Knights,Apprentice,Social Achiever,1.0,0.8205128205128205,1.0,0.42857142857142855,1.0,0.42857142857142855,0.0
10203.0,9921470.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,0.19642857142857142,0.6410256410256411,0.0,0.42857142857142855,0.0,0.0,0.0
