UserID,NroUSP,Type,Group,CLRole,PlayerRole,ReB,UnB,ApC,ApA,AnC1,AnC2,EvB,PFs0,PFs1,PFs2,PFs3,PGs0,PGs1,PGs2,PGs3,PHs0,PHs1,PHs2,PHs3
10203.0,9921470.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,14157.0,46200.0,0.0,30888.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
10204.0,10310471.0,w/o-gamified,Grupo6,Apprentice,NA,72072.0,48048.0,32032.0,0.0,0.0,72072.0,0.0,72072.0,36036.0,48048.0,36036.0,72072.0,36036.0,48048.0,36036.0,72072.0,36036.0,48048.0,36036.0
10206.0,10310721.0,w/o-gamified,Grupo8,Apprentice,NA,48906.0,71148.0,28028.0,30888.0,72072.0,30888.0,0.0,72072.0,36036.0,24024.0,18018.0,72072.0,36036.0,24024.0,18018.0,72072.0,36036.0,48048.0,36036.0
10209.0,10262669.0,ont-gamified,Mafia,Apprentice,Social Achiever,72072.0,60060.0,72072.0,72072.0,72072.0,30888.0,32032.0,72072.0,36036.0,24024.0,18018.0,72072.0,36036.0,24024.0,18018.0,0.0,0.0,0.0,0.0
10210.0,10277015.0,w/o-gamified,Grupo6,Apprentice,NA,60489.0,59136.0,72072.0,0.0,30888.0,30888.0,0.0,72072.0,72072.0,48048.0,54054.0,72072.0,72072.0,72072.0,72072.0,0.0,0.0,0.0,0.0
10213.0,10277040.0,w/o-gamified,Grupo7,Apprentice,NA,72072.0,72072.0,0.0,0.0,0.0,25740.0,32032.0,72072.0,72072.0,72072.0,72072.0,72072.0,72072.0,48048.0,54054.0,72072.0,72072.0,48048.0,54054.0
10214.0,10277022.0,ont-gamified,Vikings,Apprentice,Social Achiever,27027.0,48048.0,32032.0,72072.0,72072.0,61776.0,0.0,72072.0,36036.0,24024.0,18018.0,NA,NA,NA,NA,NA,NA,NA,NA
10215.0,9285227.0,ont-gamified,Vikings,Master,Social Achiever,25740.0,72072.0,0.0,72072.0,36036.0,0.0,0.0,72072.0,72072.0,72072.0,72072.0,72072.0,72072.0,72072.0,72072.0,72072.0,72072.0,72072.0,72072.0
10216.0,10276720.0,ont-gamified,Silly Knights,Master,Social Achiever,72072.0,60060.0,0.0,30888.0,72072.0,72072.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10217.0,9805341.0,w/o-gamified,Grupo9,Apprentice,NA,72072.0,60060.0,24024.0,72072.0,72072.0,30888.0,24024.0,72072.0,36036.0,48048.0,36036.0,72072.0,72072.0,72072.0,72072.0,72072.0,36036.0,24024.0,18018.0
10218.0,9842913.0,w/o-gamified,Grupo10,Apprentice,NA,72072.0,72072.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,72072.0,72072.0,72072.0,72072.0,NA,NA,NA,NA
10219.0,10276831.0,w/o-gamified,Grupo3,Master,NA,50193.0,46200.0,32032.0,72072.0,0.0,0.0,0.0,72072.0,72072.0,48048.0,54054.0,NA,NA,NA,NA,NA,NA,NA,NA
10220.0,9760151.0,w/o-gamified,Grupo3,Apprentice,NA,48906.0,35112.0,0.0,0.0,0.0,72072.0,36036.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10221.0,9082496.0,ont-gamified,Warriors,Apprentice,Social Achiever,37323.0,36036.0,0.0,0.0,0.0,30888.0,0.0,72072.0,72072.0,72072.0,54054.0,72072.0,72072.0,72072.0,72072.0,0.0,0.0,0.0,0.0
10223.0,9795185.0,ont-gamified,Slayers,Master,Social Achiever,25740.0,48048.0,0.0,30888.0,72072.0,61776.0,32032.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10226.0,10310342.0,w/o-gamified,Grupo4,Apprentice,NA,72072.0,46200.0,0.0,0.0,36036.0,36036.0,0.0,72072.0,72072.0,72072.0,72072.0,NA,NA,NA,NA,72072.0,36036.0,24024.0,36036.0
10227.0,9274382.0,w/o-gamified,Grupo5,Master,NA,0.0,60060.0,0.0,41184.0,41184.0,41184.0,40040.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,72072.0,36036.0,24024.0,18018.0
10228.0,10310492.0,ont-gamified,Resistance,Apprentice,Social Achiever,27027.0,36036.0,0.0,30888.0,36036.0,0.0,0.0,72072.0,72072.0,48048.0,54054.0,NA,NA,NA,NA,NA,NA,NA,NA
10230.0,10351992.0,ont-gamified,Resistance,Master,Social Achiever,2574.0,46200.0,32032.0,0.0,0.0,0.0,32032.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
10231.0,10276911.0,w/o-gamified,Grupo9,Master,NA,48906.0,72072.0,0.0,72072.0,72072.0,0.0,72072.0,72072.0,36036.0,24024.0,18018.0,72072.0,36036.0,24024.0,18018.0,0.0,0.0,0.0,0.0
10232.0,10276974.0,w/o-gamified,Grupo7,Apprentice,NA,37323.0,72072.0,32032.0,30888.0,25740.0,20592.0,0.0,72072.0,72072.0,72072.0,72072.0,72072.0,36036.0,48048.0,36036.0,72072.0,72072.0,48048.0,54054.0
10237.0,10377688.0,ont-gamified,Outlaws,Apprentice,Social Achiever,72072.0,34188.0,32032.0,0.0,30888.0,0.0,32032.0,72072.0,72072.0,48048.0,54054.0,NA,NA,NA,NA,NA,NA,NA,NA
10238.0,10276953.0,w/o-gamified,Grupo2,Master,NA,48906.0,59136.0,0.0,0.0,72072.0,30888.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10240.0,10276654.0,w/o-gamified,Grupo5,Apprentice,NA,37323.0,47124.0,0.0,30888.0,72072.0,0.0,0.0,72072.0,72072.0,72072.0,72072.0,NA,NA,NA,NA,NA,NA,NA,NA
