UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,PersonScores,theta,error
10169.0,10377538.0,ont-gamified,Resistance,Apprentice,Social Achiever,14.0,-0.8442822522010461,0.3885047117980557
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,NA,11.0,-1.2944745008927219,0.4207776277717966
10171.0,698531.0,ont-gamified,Mafia,Master,Social Achiever,9.0,-1.6667375177647044,0.4789130013465248
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,NA,26.0,0.9917230249560137,0.38528148494152953
10174.0,10276852.0,w/o-gamified,Grupo7,Master,NA,19.0,-0.10795413965021611,0.3967629819994902
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever,7.0,-2.220904707589202,0.6204575948889449
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever,23.0,0.5493794184319418,0.3943911265072685
10179.0,10310759.0,w/o-gamified,Grupo10,Master,NA,27.0,1.1314266106652449,0.38690651817185756
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,NA,19.0,-0.10795413965021611,0.3967629819994902
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,NA,18.0,-0.2652384581228264,0.3925512932635576
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,NA,20.0,0.05565248575637723,0.3998510536634977
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,NA,23.0,0.5493794184319418,0.3943911265072685
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever,17.0,-0.4158421251696621,0.3886486313437628
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever,9.0,-1.6667375177647044,0.4789130013465248
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever,23.0,0.5493794184319418,0.3943911265072685
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,NA,26.0,0.9917230249560137,0.38528148494152953
10191.0,10276981.0,w/o-gamified,Grupo1,Master,NA,24.0,0.7028757758428321,0.3899768073713435
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,16.0,-0.5610745902214668,0.38617434471674084
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,5.0,-3.782180758341251,1.3873651801937947
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,NA,15.0,-0.7030547208192675,0.385919431895589
10198.0,10310888.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,22.0,0.38873568955734644,0.398409493335698
10199.0,10276737.0,w/o-gamified,Grupo1,Apprentice,NA,21.0,0.2227682277025394,0.40052087399332154
10200.0,9795272.0,ont-gamified,Warriors,Apprentice,Social Achiever,16.0,-0.5610745902214668,0.38617434471674084
10201.0,10276928.0,w/o-gamified,Grupo11,Apprentice,NA,19.0,-0.10795413965021611,0.3967629819994902
10202.0,10277036.0,ont-gamified,Silly Knights,Apprentice,Social Achiever,14.0,-0.8442822522010461,0.3885047117980557
10203.0,9921470.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,8.0,-1.9063508259402706,0.5320688693117696
10204.0,10310471.0,w/o-gamified,Grupo6,Apprentice,NA,35.0,3.261893943065815,1.120907102753273
10206.0,10310721.0,w/o-gamified,Grupo8,Apprentice,NA,12.0,-1.136230292268086,0.4049042331942982
10208.0,10276932.0,ont-gamified,Mercenaries,Master,Social Achiever,16.0,-0.5610745902214668,0.38617434471674084
10209.0,10262669.0,ont-gamified,Mafia,Apprentice,Social Achiever,35.0,3.261893943065815,1.120907102753273
10210.0,10277015.0,w/o-gamified,Grupo6,Apprentice,NA,35.0,3.261893943065815,1.120907102753273
10213.0,10277040.0,w/o-gamified,Grupo7,Apprentice,NA,35.0,3.261893943065815,1.120907102753273
10214.0,10277022.0,ont-gamified,Vikings,Apprentice,Social Achiever,27.0,1.1314266106652449,0.38690651817185756
10215.0,9285227.0,ont-gamified,Vikings,Master,Social Achiever,13.0,-0.9875715477862178,0.3945598297717142
10216.0,10276720.0,ont-gamified,Silly Knights,Master,Social Achiever,11.0,-1.2944745008927219,0.4207776277717966
10217.0,9805341.0,w/o-gamified,Grupo9,Apprentice,NA,19.0,-0.10795413965021611,0.3967629819994902
10218.0,9842913.0,w/o-gamified,Grupo10,Apprentice,NA,22.0,0.38873568955734644,0.398409493335698
10219.0,10276831.0,w/o-gamified,Grupo3,Master,NA,26.0,0.9917230249560137,0.38528148494152953
10220.0,9760151.0,w/o-gamified,Grupo3,Apprentice,NA,8.0,-1.9063508259402706,0.5320688693117696
10221.0,9082496.0,ont-gamified,Warriors,Apprentice,Social Achiever,25.0,0.8497082144789534,0.3865830074318463
10223.0,9795185.0,ont-gamified,Slayers,Master,Social Achiever,19.0,-0.10795413965021611,0.3967629819994902
10224.0,9368772.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,22.0,0.38873568955734644,0.398409493335698
10226.0,10310342.0,w/o-gamified,Grupo4,Apprentice,NA,35.0,3.261893943065815,1.120907102753273
10227.0,9274382.0,w/o-gamified,Grupo5,Master,NA,17.0,-0.4158421251696621,0.3886486313437628
10228.0,10310492.0,ont-gamified,Resistance,Apprentice,Social Achiever,8.0,-1.9063508259402706,0.5320688693117696
10230.0,10351992.0,ont-gamified,Resistance,Master,Social Achiever,20.0,0.05565248575637723,0.3998510536634977
10231.0,10276911.0,w/o-gamified,Grupo9,Master,NA,8.0,-1.9063508259402706,0.5320688693117696
10232.0,10276974.0,w/o-gamified,Grupo7,Apprentice,NA,17.0,-0.4158421251696621,0.3886486313437628
10234.0,10310676.0,w/o-gamified,Grupo4,Master,NA,31.0,1.7380040209820158,0.44483885246806143
10237.0,10377688.0,ont-gamified,Outlaws,Apprentice,Social Achiever,19.0,-0.10795413965021611,0.3967629819994902
10238.0,10276953.0,w/o-gamified,Grupo2,Master,NA,26.0,0.9917230249560137,0.38528148494152953
