UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Re2,Un2,Ap3,Ap1,An3a,An3b,Ev2,P4s0,P4s1,P4s2,P4s3
10213.0,10277040.0,w/o-gamified,Grupo7,Apprentice,NA,0.375,0.2857142857142857,0.0,1.0,0.0,0.5,1.0,NA,NA,NA,NA
10214.0,10277022.0,ont-gamified,Vikings,Apprentice,Social Achiever,0.35714285714285715,0.0,0.45454545454545453,0.0,0.0,0.42857142857142855,0.0,NA,NA,NA,NA
10215.0,9285227.0,ont-gamified,Vikings,Master,Social Achiever,0.5178571428571429,0.6666666666666666,1.0,0.45454545454545453,0.5,0.0,0.4444444444444444,NA,NA,NA,NA
10216.0,10276720.0,ont-gamified,Silly Knights,Master,Social Achiever,0.5178571428571429,0.6666666666666666,0.45454545454545453,1.0,0.5,0.5,0.0,NA,NA,NA,NA
10217.0,9805341.0,w/o-gamified,Grupo9,Apprentice,NA,0.5178571428571429,0.6190476190476191,0.0,1.0,1.0,0.0,1.0,NA,NA,NA,NA
10218.0,9842913.0,w/o-gamified,Grupo10,Apprentice,NA,0.5178571428571429,0.30952380952380953,1.0,1.0,0.0,0.0,0.4444444444444444,NA,NA,NA,NA
10219.0,10276831.0,w/o-gamified,Grupo3,Master,NA,0.375,0.6428571428571429,0.45454545454545453,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10220.0,9760151.0,w/o-gamified,Grupo3,Apprentice,NA,0.5178571428571429,0.30952380952380953,0.0,1.0,0.0,0.0,0.4444444444444444,NA,NA,NA,NA
10221.0,9082496.0,ont-gamified,Warriors,Apprentice,Social Achiever,0.39285714285714285,0.30952380952380953,0.0,0.0,0.0,0.0,0.4444444444444444,NA,NA,NA,NA
10223.0,9795185.0,ont-gamified,Slayers,Master,Social Achiever,0.5178571428571429,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,NA,NA,NA,NA
10226.0,10310342.0,w/o-gamified,Grupo4,Apprentice,NA,0.5178571428571429,0.2857142857142857,0.45454545454545453,0.0,0.42857142857142855,0.0,0.5,NA,NA,NA,NA
10227.0,9274382.0,w/o-gamified,Grupo5,Master,NA,0.6785714285714286,0.3333333333333333,0.5,1.0,0.42857142857142855,1.0,0.0,NA,NA,NA,NA
10228.0,10310492.0,ont-gamified,Resistance,Apprentice,Social Achiever,0.5178571428571429,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,NA,NA,NA,NA
10230.0,10351992.0,ont-gamified,Resistance,Master,Social Achiever,0.5178571428571429,0.5714285714285714,1.0,1.0,0.8571428571428571,0.0,0.4444444444444444,NA,NA,NA,NA
10231.0,10276911.0,w/o-gamified,Grupo9,Master,NA,0.5178571428571429,1.0,0.0,1.0,1.0,1.0,0.4444444444444444,NA,NA,NA,NA
10232.0,10276974.0,w/o-gamified,Grupo7,Apprentice,NA,0.5178571428571429,0.6428571428571429,1.0,1.0,0.0,0.42857142857142855,0.3888888888888889,NA,NA,NA,NA
10237.0,10377688.0,ont-gamified,Outlaws,Apprentice,Social Achiever,0.5178571428571429,0.6428571428571429,0.0,1.0,1.0,0.0,0.0,NA,NA,NA,NA
10238.0,10276953.0,w/o-gamified,Grupo2,Master,NA,1.0,0.2619047619047619,1.0,0.0,1.0,0.0,0.4444444444444444,NA,NA,NA,NA
10240.0,10276654.0,w/o-gamified,Grupo5,Apprentice,NA,0.5178571428571429,0.6428571428571429,0.0,1.0,0.0,0.42857142857142855,0.0,NA,NA,NA,NA
