UserID,NroUSP,Type,Group,CLRole,PlayerRole,Re2,Un2,Ap3,Ap1,An3a,An3b,Ev2,P4s0,P4s1,P4s2,P4s3
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,29.0,25.0,22.0,22.0,0.0,0.0,0.0,NA,NA,NA,NA
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,29.0,27.0,11.0,22.0,6.0,0.0,0.0,NA,NA,NA,NA
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,NA,29.0,28.0,0.0,22.0,13.0,0.0,8.0,1.0,2.0,3.0,4.0
10198.0,10310888.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,29.0,27.0,0.0,0.0,7.0,0.0,0.0,NA,NA,NA,NA
10200.0,9795272.0,ont-gamified,Warriors,Apprentice,Social Achiever,29.0,27.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
10201.0,10276928.0,w/o-gamified,Grupo11,Apprentice,NA,29.0,27.0,0.0,22.0,14.0,14.0,0.0,NA,NA,NA,NA
10202.0,10277036.0,ont-gamified,Silly Knights,Apprentice,Social Achiever,29.0,26.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10203.0,9921470.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,30.0,42.0,22.0,0.0,0.0,0.0,8.0,NA,NA,NA,NA
10204.0,10310471.0,w/o-gamified,Grupo6,Apprentice,NA,29.0,13.0,10.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0
10206.0,10310721.0,w/o-gamified,Grupo8,Apprentice,NA,39.0,27.0,10.0,0.0,13.0,0.0,18.0,NA,NA,NA,NA
10209.0,10262669.0,ont-gamified,Mafia,Apprentice,Social Achiever,29.0,28.0,10.0,22.0,0.0,14.0,8.0,NA,NA,NA,NA
10210.0,10277015.0,w/o-gamified,Grupo6,Apprentice,NA,30.0,40.0,11.0,0.0,6.0,12.0,0.0,NA,NA,NA,NA
10213.0,10277040.0,w/o-gamified,Grupo7,Apprentice,NA,21.0,12.0,0.0,22.0,0.0,7.0,18.0,NA,NA,NA,NA
10214.0,10277022.0,ont-gamified,Vikings,Apprentice,Social Achiever,20.0,0.0,10.0,0.0,0.0,6.0,0.0,NA,NA,NA,NA
